Year,Current,2022
Market Capitalization,296,295
Enterprise Value,296,295
PE Ratio,515.50,473.39
PB Ratio,-33.50,-33.50
P/FCF Ratio,-416.79,-416.79
P/OCF Ratio,-416.79,-416.79
EV/EBITDA Ratio,238.34,237.18
EV/EBIT Ratio,238.34,237.18
EV/FCF Ratio,-416.71,-416.71
Debt / Equity Ratio,-0.03,-0.03
Debt / EBITDA Ratio,0.24,0.24
Debt / FCF Ratio,-0.42,-0.42
Current Ratio,0.34,0.34
Return on Equity (ROE),-7.70%,-7.70%
Return on Assets (ROA),0.30%,0.30%
Return on Capital (ROIC),0.50%,0.50%
Earnings Yield,0.21%,0.21%
FCF Yield,-0.24%,-0.24%
Buyback Yield / Dilution,-174.64%,-
Total Shareholder Return,-174.64%,-
