Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,522,716,640,643,840,663,884,837,585,689,678,Upgrade
Market Cap Growth,-,11.87%,-0.47%,-23.45%,26.72%,-25.01%,5.58%,43.17%,-15.10%,1.58%,36.74%,Upgrade
Enterprise Value,67,237,-282,-196,589,321,514,340,58,207,299,Upgrade
PE Ratio,6.91,9.52,10.41,12.26,14.53,10.79,20.49,19.66,13.85,15.59,17.04,Upgrade
PS Ratio,2.54,3.59,3.48,3.90,4.82,3.74,5.18,5.17,3.72,4.41,4.57,Upgrade
PB Ratio,0.85,1.19,1.07,1.13,1.56,1.35,1.93,1.94,1.42,1.75,1.87,Upgrade
P/FCF Ratio,6.31,9.51,12.19,11.03,14.02,10.36,15.21,15.65,10.37,13.41,10.68,Upgrade
P/OCF Ratio,6.04,9.11,11.56,10.35,13.17,9.80,14.33,15.26,9.75,12.53,9.70,Upgrade
EV/Sales Ratio,0.32,1.19,-1.53,-1.19,3.38,1.81,3.01,2.09,0.37,1.32,2.02,Upgrade
EV/EBITDA Ratio,0.60,2.16,-3.04,-2.47,6.81,3.84,6.39,4.69,0.81,2.71,4.37,Upgrade
EV/EBIT Ratio,0.67,2.39,-3.43,-2.83,7.69,4.03,6.70,4.97,0.87,2.89,4.71,Upgrade
EV/FCF Ratio,0.81,3.15,-5.37,-3.37,9.82,5.02,8.85,6.35,1.03,4.02,4.71,Upgrade
Debt / Equity Ratio,0.30,0.29,0.49,0.47,0.38,0.33,0.53,0.48,0.46,0.48,0.56,Upgrade
Debt / EBITDA Ratio,1.64,1.56,3.21,3.36,2.37,1.93,3.02,2.90,2.68,2.48,2.98,Upgrade
Debt / FCF Ratio,2.20,2.28,5.66,4.59,3.42,2.53,4.18,3.91,3.39,3.68,3.21,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),12.70%,12.70%,10.50%,9.40%,11.10%,12.90%,9.60%,9.90%,10.40%,11.50%,11.20%,Upgrade
Return on Assets (ROA),1.20%,1.20%,1.00%,0.90%,1.10%,1.20%,0.90%,0.90%,0.90%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),1.80%,1.80%,1.60%,1.40%,1.60%,1.70%,1.70%,1.60%,1.60%,1.70%,1.60%,Upgrade
Earnings Yield,14.54%,10.51%,9.61%,8.15%,6.88%,9.27%,4.88%,5.09%,7.22%,6.41%,5.87%,Upgrade
FCF Yield,15.84%,10.52%,8.21%,9.07%,7.13%,9.65%,6.58%,6.39%,9.64%,7.46%,9.37%,Upgrade
Dividend Yield,5.18%,3.75%,4.12%,4.09%,3.14%,3.90%,2.85%,3.00%,4.27%,3.62%,3.66%,Upgrade
Payout Ratio,35.80%,35.90%,43.00%,50.10%,45.60%,42.00%,58.40%,58.80%,59.10%,56.20%,62.20%,Upgrade
Buyback Yield / Dilution,1.02%,0.87%,0.35%,0.50%,-0.27%,-0.57%,-0.42%,-0.47%,-0.39%,-0.47%,-0.55%,Upgrade
Total Shareholder Return,6.19%,4.62%,4.47%,4.59%,2.88%,3.33%,2.43%,2.53%,3.89%,3.15%,3.11%,Upgrade
