Year,Current,2022,2021
Market Capitalization,384,372,355
Market Cap Growth,-,4.74%,-
Enterprise Value,387,372,355
PE Ratio,1073.00,-292.64,-
PB Ratio,307.56,-76.17,-42.07
P/FCF Ratio,-432.39,-492.03,-290.46
P/OCF Ratio,-432.39,-492.03,-290.46
EV/EBITDA Ratio,955.97,-292.86,-
EV/EBIT Ratio,955.97,-292.86,-
EV/FCF Ratio,-436.23,-492.40,-290.07
Debt / Equity Ratio,2.69,-0.06,-
Debt / EBITDA Ratio,8.30,-0.24,-
Debt / FCF Ratio,-3.84,-0.40,-
Current Ratio,0.02,0.07,12.83
Return on Equity (ROE),-8.00%,16.80%,-
Return on Assets (ROA),0.10%,-0.40%,-
Return on Capital (ROIC),0.10%,-0.40%,-
Earnings Yield,0.11%,-0.34%,-
FCF Yield,-0.23%,-0.20%,-0.34%
Buyback Yield / Dilution,-151.71%,-,
Total Shareholder Return,-151.71%,-,
