Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,181,395,511,303,424,332,432,-
Market Cap Growth,-,-22.67%,68.60%,-28.48%,27.87%,-23.32%,-,-
Enterprise Value,389,746,177,377,355,616,360,-66
PE Ratio,3.00,6.15,8.99,9.21,10.82,9.19,16.94,-
PS Ratio,1.18,2.54,3.68,2.84,3.76,3.82,5.81,-
PB Ratio,0.37,0.82,1.10,0.71,1.04,0.89,1.63,-
P/FCF Ratio,2.36,4.26,2.55,2.52,0.89,-3.81,15.39,-
P/OCF Ratio,2.33,4.22,2.53,2.44,0.89,-3.92,15.03,-
EV/Sales Ratio,2.54,4.79,1.27,3.52,3.15,7.09,4.83,-1.10
EV/EBITDA Ratio,4.04,7.29,1.88,6.81,5.72,12.00,7.32,-1.96
EV/EBIT Ratio,4.53,8.17,2.19,7.94,6.42,13.33,7.69,-2.04
EV/FCF Ratio,5.07,8.04,0.88,3.13,0.75,-7.07,12.80,-1.18
Debt / Equity Ratio,0.89,0.90,0.77,0.63,0.28,1.16,0.29,0.29
Debt / EBITDA Ratio,4.56,4.25,3.82,4.86,1.83,8.43,1.59,1.55
Debt / FCF Ratio,5.73,4.69,1.80,2.23,0.24,-4.97,2.77,0.94
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.05
Return on Equity (ROE),12.70%,13.70%,12.60%,7.90%,9.90%,11.70%,11.30%,11.10%
Return on Assets (ROA),1.50%,1.60%,1.50%,1.00%,1.40%,1.70%,1.60%,1.60%
Return on Capital (ROIC),2.10%,2.20%,2.20%,1.50%,2.00%,2.10%,3.20%,3.00%
Earnings Yield,33.59%,16.27%,11.13%,10.86%,9.25%,10.89%,5.90%,-
FCF Yield,42.44%,23.47%,39.15%,39.67%,112.05%,-26.27%,6.50%,-
Dividend Yield,6.31%,2.74%,1.98%,2.17%,1.92%,1.90%,0.28%,-
Payout Ratio,18.10%,16.60%,17.50%,19.90%,20.40%,16.60%,4.40%,0.00%
Buyback Yield / Dilution,2.02%,2.53%,0.44%,2.31%,-13.50%,-17.91%,-11.26%,-1.06%
Total Shareholder Return,8.33%,5.27%,2.42%,4.48%,-11.58%,-16.01%,-10.98%,-1.06%
