Year,Current,2022,2021,2020
Market Capitalization,134,153,435,409
Market Cap Growth,-,-64.86%,6.30%,-
Enterprise Value,137,154,434,408
PE Ratio,211.20,18.02,27.58,-63.30
PB Ratio,-21.79,-42.89,-21.91,-11.49
P/FCF Ratio,-170.01,-277.65,-842.87,-901.67
P/OCF Ratio,-170.01,-277.65,-842.87,-901.67
EV/EBITDA Ratio,55.69,18.18,27.54,-63.05
EV/EBIT Ratio,55.69,18.18,27.54,-63.05
EV/FCF Ratio,-173.24,-280.09,-841.58,-898.15
Debt / Equity Ratio,-0.49,-0.41,-,-
Debt / EBITDA Ratio,1.21,0.17,-,-
Debt / FCF Ratio,-3.80,-2.65,-,-
Current Ratio,0.08,0.04,1.60,2.89
Return on Equity (ROE),-27.10%,-74.80%,-195.70%,-
Return on Assets (ROA),1.90%,4.30%,4.80%,-
Return on Capital (ROIC),1.90%,4.30%,4.90%,-
Earnings Yield,1.83%,5.55%,3.63%,-1.58%
FCF Yield,-0.58%,-0.36%,-0.12%,-0.11%
Buyback Yield / Dilution,64.29%,18.54%,-39.96%,-
Total Shareholder Return,64.29%,18.54%,-39.96%,-
