Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,375,368,556,402,354,269,225,188,199
Market Cap Growth,-,-33.87%,38.43%,13.56%,31.46%,19.81%,19.56%,-5.77%,-
Enterprise Value,927,876,965,618,663,355,354,341,232
PE Ratio,-23.60,-18.33,7.27,11.39,11.15,7.37,11.69,16.90,12.85
PS Ratio,2.96,3.08,6.37,4.41,4.82,4.17,4.36,4.31,4.74
PB Ratio,0.90,0.88,1.28,1.00,1.07,0.81,0.96,0.87,0.86
P/FCF Ratio,-2.27,-3.65,-3.85,6.31,-1.89,-15.11,8.95,-2.04,1414.86
P/OCF Ratio,-2.27,-3.65,-3.85,6.31,-1.89,-15.11,8.95,-2.04,1414.86
EV/Sales Ratio,7.37,7.33,11.04,6.78,9.04,5.50,6.88,7.81,5.51
EV/EBITDA Ratio,72.33,130.88,10.27,12.17,15.02,7.78,12.52,17.95,10.64
EV/EBIT Ratio,72.33,130.88,10.27,12.17,15.02,7.78,12.52,17.95,10.64
EV/FCF Ratio,-5.22,-8.68,-6.67,9.71,-3.54,-19.94,14.11,-3.70,1644.86
Debt / Equity Ratio,1.48,1.35,1.08,0.65,1.01,0.29,0.59,0.78,0.31
Debt / EBITDA Ratio,47.79,84.74,4.98,5.14,7.60,2.10,4.93,8.86,3.25
Debt / FCF Ratio,-3.26,-5.62,-3.23,4.10,-1.79,-5.38,5.55,-1.83,502.91
Asset Turnover,0.13,0.13,0.11,0.13,0.13,0.13,0.11,0.11,0.12
Return on Equity (ROE),-4.30%,-4.70%,18.30%,8.80%,9.40%,12.80%,8.70%,5.20%,6.50%
Return on Assets (ROA),-1.80%,-2.10%,9.70%,4.90%,5.40%,7.50%,4.30%,2.70%,4.30%
Return on Capital (ROIC),0.90%,0.50%,8.60%,5.20%,5.70%,7.60%,5.20%,3.80%,5.60%
Earnings Yield,-4.86%,-5.45%,13.76%,8.78%,8.97%,13.58%,8.55%,5.92%,7.78%
FCF Yield,-50.55%,-27.42%,-26.00%,15.84%,-52.98%,-6.62%,11.17%,-48.95%,0.07%
Dividend Yield,15.03%,13.77%,8.01%,11.71%,10.11%,11.72%,10.46%,12.38%,10.86%
Payout Ratio,-274.10%,-254.10%,58.30%,132.80%,112.50%,86.50%,122.00%,208.70%,139.80%
Buyback Yield / Dilution,-13.99%,-5.67%,-1.21%,-23.03%,-21.26%,-25.51%,-1.01%,-7.44%,-
Total Shareholder Return,1.14%,8.10%,6.79%,-11.32%,-11.16%,-13.79%,9.44%,4.94%,10.86%
