Year,Current,2022,2021,2020,2019,2018
Market Capitalization,114,198,175,127,162,-
Market Cap Growth,-,13.07%,38.13%,-21.65%,-,-
Enterprise Value,29,20,-135,-78,62,-74
PE Ratio,5.00,9.38,13.10,29.47,23.12,-
PS Ratio,1.46,2.66,2.97,2.88,3.78,-
PB Ratio,0.64,1.15,1.16,0.93,1.24,-
P/FCF Ratio,3.58,6.95,10.93,11.28,16.22,-
P/OCF Ratio,3.57,6.91,10.81,8.60,12.97,-
EV/Sales Ratio,0.37,0.27,-2.29,-1.76,1.46,-1.93
EV/EBITDA Ratio,0.86,0.63,-6.73,-10.17,5.94,-5.89
EV/EBIT Ratio,0.89,0.66,-7.31,-12.45,6.48,-6.28
EV/FCF Ratio,0.91,0.70,-8.41,-6.91,6.26,-7.50
Debt / Equity Ratio,0.72,0.31,1.06,1.57,0.11,0.04
Debt / EBITDA Ratio,3.83,1.73,8.01,28.02,1.42,0.40
Debt / FCF Ratio,4.08,1.90,10.01,19.03,1.50,0.50
Asset Turnover,0.04,0.04,0.03,0.03,0.04,-
Return on Equity (ROE),13.60%,13.00%,9.20%,3.20%,5.60%,-
Return on Assets (ROA),1.10%,1.10%,0.70%,0.20%,0.60%,-
Return on Capital (ROIC),1.70%,1.60%,1.10%,0.40%,1.00%,-
Earnings Yield,20.14%,10.66%,7.63%,3.39%,4.33%,-
FCF Yield,27.89%,14.40%,9.15%,8.87%,6.16%,-
Buyback Yield / Dilution,-1.18%,-1.34%,-1.52%,-0.45%,-11.13%,-
Total Shareholder Return,-1.18%,-1.34%,-1.52%,-0.45%,-11.13%,-
