Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"16,630","20,534","19,172","13,629","15,272","12,502","20,375","16,645","13,168","15,253","14,515",Upgrade
Market Cap Growth,-,7.10%,40.67%,-10.76%,22.15%,-38.64%,22.40%,26.41%,-13.67%,5.08%,73.36%,Upgrade
Enterprise Value,"17,023","19,763","21,200","15,143","16,584","12,827","21,122","17,103","14,049","15,948","14,896",Upgrade
PE Ratio,3.96,4.27,11.21,9.76,10.95,8.08,8.82,12.64,10.89,13.73,16.50,Upgrade
PS Ratio,0.99,1.17,1.34,0.93,0.94,0.88,1.45,1.34,1.10,1.46,1.56,Upgrade
PB Ratio,1.66,2.06,1.19,0.82,1.05,1.10,1.59,1.63,1.41,1.50,1.50,Upgrade
P/FCF Ratio,4.56,6.72,6.14,3.79,2.85,2.47,5.06,4.50,3.11,5.14,6.71,Upgrade
P/OCF Ratio,4.42,6.47,5.89,3.67,2.78,2.42,4.86,4.31,3.01,4.92,6.53,Upgrade
EV/Sales Ratio,0.99,1.13,1.49,1.03,1.02,0.90,1.50,1.38,1.17,1.52,1.60,Upgrade
EV/EBITDA Ratio,3.00,3.13,9.17,7.92,8.87,6.47,8.68,9.87,8.76,9.77,11.87,Upgrade
EV/EBIT Ratio,3.17,3.28,10.41,9.12,10.09,7.22,9.44,11.06,9.95,10.90,13.53,Upgrade
EV/FCF Ratio,4.58,6.47,6.79,4.21,3.09,2.53,5.25,4.62,3.31,5.38,6.89,Upgrade
Debt / Equity Ratio,0.46,0.41,0.27,0.26,0.26,0.29,0.25,0.31,0.37,0.25,0.28,Upgrade
Debt / EBITDA Ratio,0.83,0.65,1.89,2.28,2.05,1.67,1.32,1.83,2.15,1.57,2.19,Upgrade
Debt / FCF Ratio,1.27,1.33,1.40,1.21,0.71,0.65,0.80,0.86,0.81,0.86,1.27,Upgrade
Asset Turnover,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),42.20%,45.40%,10.70%,9.20%,9.90%,13.20%,19.80%,12.70%,12.40%,10.90%,9.30%,Upgrade
Return on Assets (ROA),1.50%,1.70%,0.60%,0.50%,0.50%,0.60%,0.90%,0.60%,0.60%,0.50%,0.40%,Upgrade
Return on Capital (ROIC),1.90%,2.10%,0.70%,0.60%,0.60%,0.70%,0.90%,0.70%,0.60%,0.70%,0.50%,Upgrade
Earnings Yield,25.34%,23.43%,8.92%,10.24%,9.13%,12.37%,11.34%,7.91%,9.18%,7.28%,6.06%,Upgrade
FCF Yield,21.91%,14.89%,16.30%,26.42%,35.10%,40.51%,19.75%,22.25%,32.20%,19.45%,14.89%,Upgrade
Dividend Yield,3.74%,3.05%,3.37%,4.52%,4.05%,4.75%,2.65%,2.78%,3.33%,2.46%,1.99%,Upgrade
Payout Ratio,14.80%,13.40%,38.40%,44.10%,44.50%,38.80%,23.40%,35.40%,36.50%,34.60%,32.80%,Upgrade
Buyback Yield / Dilution,6.94%,7.69%,3.52%,1.06%,1.90%,1.98%,-0.37%,1.73%,0.31%,0.24%,-0.27%,Upgrade
Total Shareholder Return,10.74%,10.74%,6.89%,5.58%,5.95%,6.73%,2.28%,4.51%,3.65%,2.70%,1.72%,Upgrade
