Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,7,4,19,42,69,392,-,-
Market Cap Growth,-,-81.48%,-54.77%,-38.88%,-82.40%,-,-,-
Enterprise Value,9,5,32,34,54,316,7,-1
PE Ratio,-0.13,-0.13,-1.20,-0.94,-0.53,1248.82,-,-
PS Ratio,0.73,0.33,0.71,0.73,0.38,1.69,-,-
PB Ratio,-0.04,-0.04,-0.32,-2.32,2.55,2.56,-,-
P/FCF Ratio,-2.34,-2.34,-4.02,-6.92,2.93,11.90,-,-
P/OCF Ratio,-2.34,-2.34,-3.80,4.85,2.76,11.69,-,-
EV/Sales Ratio,0.87,0.48,1.19,0.60,0.30,1.36,0.06,-0.08
EV/EBITDA Ratio,-0.22,-0.22,-4.12,-1.15,-0.44,173.63,-0.78,0.02
EV/EBIT Ratio,-0.22,-0.22,-3.31,-1.07,-0.43,277.21,-0.74,0.02
EV/FCF Ratio,-3.37,-3.37,-6.79,-5.65,2.31,9.59,0.30,0.04
Debt / Equity Ratio,-0.64,-0.64,-1.08,-4.65,4.77,0.90,-31.08,-41.53
Debt / EBITDA Ratio,-2.26,-2.26,-8.27,-2.83,-1.04,75.67,-31.04,-1.94
Debt / FCF Ratio,-33.79,-33.79,-13.61,-13.86,5.48,4.18,11.93,-3.07
Current Ratio,0.74,0.74,1.30,1.38,1.07,1.73,1.10,0.92
Asset Turnover,0.12,0.12,0.20,0.30,0.65,0.67,0.51,-
Return on Equity (ROE),40.40%,40.40%,40.40%,-832.80%,-145.30%,0.40%,237.70%,-
Return on Assets (ROA),-29.50%,-29.50%,-11.70%,-23.20%,-46.10%,0.10%,-5.60%,-
Return on Capital (ROIC),-51.20%,-51.20%,-12.20%,-32.60%,-83.80%,0.50%,-5.90%,-
Earnings Yield,-351.59%,-771.65%,-83.27%,-106.49%,-187.41%,0.08%,-,-
FCF Yield,-19.51%,-42.82%,-24.88%,-14.46%,34.15%,8.40%,-,-
Buyback Yield / Dilution,-0.93%,-0.13%,-0.80%,-5.39%,-179.08%,-60.95%,-9.62%,-
Total Shareholder Return,-0.93%,-0.13%,-0.80%,-5.39%,-179.08%,-60.95%,-9.62%,-
