Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,525","2,899","2,298","1,918","2,040","1,634","1,630","1,462",914,982,858,Upgrade
Market Cap Growth,-,26.12%,19.80%,-5.94%,24.80%,0.26%,11.53%,59.86%,-6.86%,14.43%,33.02%,Upgrade
Enterprise Value,-23,-187,333,329,198,239,-96,-357,-651,-901,-961,Upgrade
PE Ratio,11.98,15.01,13.71,19.26,15.12,12.99,18.86,20.68,13.82,15.37,15.79,Upgrade
PS Ratio,4.31,5.30,4.65,5.03,4.96,4.28,4.84,4.88,3.19,3.57,3.40,Upgrade
PB Ratio,1.93,2.32,1.96,1.80,2.03,1.81,2.10,2.06,1.40,1.61,1.54,Upgrade
P/FCF Ratio,11.95,14.04,13.01,21.70,15.46,18.54,17.77,18.34,13.67,15.00,13.36,Upgrade
P/OCF Ratio,10.88,12.81,11.27,12.39,12.83,11.67,14.85,16.14,11.70,12.76,10.99,Upgrade
EV/Sales Ratio,0.32,-0.34,0.67,0.86,0.48,0.62,-0.28,-1.19,-2.27,-3.28,-3.81,Upgrade
EV/EBITDA Ratio,0.64,-0.72,1.46,2.32,1.07,1.38,-0.65,-2.97,-5.76,-8.79,-10.46,Upgrade
EV/EBIT Ratio,0.69,-0.79,1.60,2.67,1.17,1.49,-0.70,-3.31,-6.44,-9.89,-11.89,Upgrade
EV/FCF Ratio,0.88,-0.91,1.89,3.73,1.50,2.71,-1.04,-4.48,-9.74,-13.78,-14.97,Upgrade
Debt / Equity Ratio,0.22,0.07,0.07,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.07,Upgrade
Debt / EBITDA Ratio,1.00,0.33,0.38,0.20,0.15,0.16,0.22,0.27,0.29,0.30,0.42,Upgrade
Debt / FCF Ratio,1.37,0.42,0.49,0.32,0.21,0.32,0.36,0.41,0.49,0.47,0.60,Upgrade
Asset Turnover,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),17.40%,16.10%,14.80%,9.60%,13.90%,14.40%,11.50%,10.30%,10.30%,10.90%,10.00%,Upgrade
Return on Assets (ROA),1.70%,1.50%,1.60%,1.10%,1.70%,1.70%,1.20%,1.00%,1.00%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),3.00%,2.70%,2.90%,1.70%,2.70%,2.70%,2.60%,2.10%,2.10%,2.00%,2.00%,Upgrade
Earnings Yield,8.50%,6.66%,7.29%,5.19%,6.61%,7.70%,5.30%,4.84%,7.24%,6.51%,6.33%,Upgrade
FCF Yield,8.37%,7.12%,7.69%,4.61%,6.47%,5.39%,5.63%,5.45%,7.32%,6.67%,7.48%,Upgrade
Dividend Yield,2.03%,1.72%,1.98%,2.25%,1.99%,2.04%,1.56%,1.59%,2.39%,2.05%,2.14%,Upgrade
Payout Ratio,23.90%,25.80%,27.30%,43.30%,30.00%,26.50%,29.40%,32.60%,32.90%,31.40%,33.70%,Upgrade
Buyback Yield / Dilution,-0.80%,-0.92%,0.34%,-0.05%,0.27%,-2.77%,-1.44%,-0.71%,-0.72%,-1.20%,-0.52%,Upgrade
Total Shareholder Return,1.23%,0.81%,2.32%,2.20%,2.25%,-0.73%,0.12%,0.88%,1.67%,0.85%,1.62%,Upgrade
