Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,135,129,333,233,243,209,255,170,123,-,-
Market Cap Growth,-,-61.31%,43.03%,-3.91%,16.14%,-17.98%,49.78%,37.80%,-,-,-
Enterprise Value,182,179,198,167,212,248,234,209,160,30,26
PE Ratio,-6.01,-6.01,20.66,19.45,22.45,22.40,32.17,26.82,33.75,-,-
PS Ratio,5.30,5.21,5.32,4.45,5.75,5.50,6.52,5.70,4.70,-,-
PB Ratio,0.63,0.62,1.43,0.99,1.05,1.66,2.20,1.56,1.22,-,-
P/FCF Ratio,6.06,5.96,13.95,13.50,21.38,14.55,42.09,21.98,24.65,-,-
P/OCF Ratio,5.99,5.89,13.71,12.82,13.86,12.47,26.87,19.75,18.09,-,-
EV/Sales Ratio,7.34,7.25,3.16,3.19,5.02,6.54,5.98,7.01,6.10,1.27,1.12
EV/EBITDA Ratio,-6.86,-6.86,8.57,9.45,13.23,18.42,14.48,20.52,27.97,4.49,4.21
EV/EBIT Ratio,-6.58,-6.58,8.97,10.07,14.49,19.76,15.25,22.34,31.95,5.08,4.71
EV/FCF Ratio,8.39,8.29,8.29,9.69,18.66,17.30,38.65,27.04,32.04,4.20,13.02
Debt / Equity Ratio,0.63,0.63,0.08,0.08,0.13,0.54,0.23,0.46,0.57,0.52,0.59
Debt / EBITDA Ratio,-5.01,-5.01,0.77,1.02,1.80,5.05,1.66,4.89,10.02,5.94,6.73
Debt / FCF Ratio,6.06,6.06,0.75,1.04,2.54,4.74,4.44,6.45,11.47,5.55,20.82
Asset Turnover,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),-9.70%,-9.70%,6.90%,5.10%,6.90%,7.70%,6.90%,5.90%,3.90%,6.00%,-
Return on Assets (ROA),-1.20%,-1.20%,1.00%,0.80%,1.00%,1.00%,0.90%,0.80%,0.50%,0.70%,-
Return on Capital (ROIC),-1.60%,-1.60%,1.50%,1.20%,1.40%,1.30%,1.70%,1.20%,0.70%,0.90%,-
Earnings Yield,-16.37%,-16.64%,4.84%,5.14%,4.46%,4.46%,3.11%,3.73%,2.96%,-,-
FCF Yield,16.51%,16.78%,7.17%,7.41%,4.68%,6.87%,2.38%,4.55%,4.06%,-,-
Dividend Yield,0.52%,1.53%,0.78%,0.70%,-,-,-,-,-,-,-
Payout Ratio,-9.20%,-9.20%,15.60%,13.60%,0.00%,0.00%,0.00%,0.00%,-,-,-
Buyback Yield / Dilution,4.74%,4.74%,4.57%,-0.35%,3.95%,-1.16%,-0.26%,3.39%,-,-,-
Total Shareholder Return,5.28%,6.27%,5.35%,0.35%,3.95%,-1.16%,-0.26%,3.39%,-,-,-
