Year,Current,2022,2021,2020,2019
Market Capitalization,"1,370","1,383","2,793",-,-
Market Cap Growth,-,-50.46%,-,-,-
Enterprise Value,"1,810","1,496","2,747",11,-37
PE Ratio,19.32,7.51,11.05,-,-
PS Ratio,3.37,2.32,4.20,-,-
PB Ratio,16.07,17.49,38.90,-,-
P/FCF Ratio,7.28,6.14,13.42,-,-
P/OCF Ratio,7.15,6.06,13.35,-,-
EV/Sales Ratio,4.48,2.51,4.14,0.03,-0.12
EV/EBITDA Ratio,21.39,6.76,10.10,0.07,-0.26
EV/EBIT Ratio,22.16,6.84,10.19,0.07,-0.26
EV/FCF Ratio,9.66,6.65,13.20,0.08,-0.25
Debt / Equity Ratio,6.29,3.87,2.23,0.88,0.21
Debt / EBITDA Ratio,6.31,1.38,0.59,1.05,0.25
Debt / FCF Ratio,2.85,1.36,0.77,1.26,0.24
Current Ratio,-,-,2.81,2.57,1.37
Asset Turnover,0.34,0.55,1.12,0.96,-
Return on Equity (ROE),66.50%,220.80%,204.00%,81.50%,-
Return on Assets (ROA),4.70%,16.90%,42.40%,42.00%,-
Return on Capital (ROIC),6.70%,20.00%,50.10%,55.70%,-
Earnings Yield,4.11%,13.32%,9.05%,-,-
FCF Yield,13.74%,16.27%,7.45%,-,-
Dividend Yield,11.63%,1.80%,0.19%,-,-
Payout Ratio,138.30%,113.00%,25.80%,-,-
Buyback Yield / Dilution,-8.34%,-6.27%,79.47%,-,-
Total Shareholder Return,3.42%,-4.47%,79.67%,-,-
