Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,794,"1,141",961,641,878,703,912,867,447,444,443,Upgrade
Market Cap Growth,-,18.76%,49.94%,-26.97%,24.80%,-22.85%,5.18%,93.91%,0.76%,0.07%,46.64%,Upgrade
Enterprise Value,"1,572","1,875","1,060",702,"1,228","1,015","1,190","1,113",783,687,583,Upgrade
PE Ratio,7.27,10.63,10.11,11.14,12.42,11.09,17.34,20.87,13.76,14.25,17.75,Upgrade
PS Ratio,2.37,3.44,3.59,3.09,3.98,3.67,4.94,5.33,3.29,3.54,3.82,Upgrade
PB Ratio,0.70,1.03,1.16,0.84,1.21,1.13,1.56,1.58,1.12,1.17,1.26,Upgrade
P/FCF Ratio,6.38,9.65,10.62,8.27,10.57,9.43,14.00,18.79,12.20,10.25,9.16,Upgrade
P/OCF Ratio,6.01,9.15,10.10,7.54,10.07,8.85,13.51,17.31,10.96,9.72,8.74,Upgrade
EV/Sales Ratio,4.68,5.64,3.95,3.38,5.56,5.30,6.45,6.84,5.76,5.48,5.02,Upgrade
EV/EBITDA Ratio,9.54,11.66,7.81,8.53,12.36,11.74,13.97,16.48,14.92,13.68,14.10,Upgrade
EV/EBIT Ratio,10.57,13.02,8.32,9.39,13.07,12.64,14.87,17.71,16.09,14.84,15.57,Upgrade
EV/FCF Ratio,12.63,15.85,11.70,9.06,14.79,13.60,18.28,24.13,21.37,15.88,12.04,Upgrade
Debt / Equity Ratio,0.93,0.87,0.40,0.43,0.87,0.83,0.72,0.77,1.13,0.93,0.69,Upgrade
Debt / EBITDA Ratio,6.39,6.03,2.41,4.02,6.37,6.02,4.95,6.25,8.66,7.02,5.86,Upgrade
Debt / FCF Ratio,8.46,8.20,3.61,4.27,7.62,6.97,6.48,9.15,12.41,8.15,5.00,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.10%,9.80%,11.90%,7.70%,10.00%,10.50%,9.20%,8.50%,8.20%,8.40%,7.50%,Upgrade
Return on Assets (ROA),1.00%,1.00%,1.20%,0.80%,1.10%,1.10%,1.00%,0.90%,0.90%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,1.60%,1.00%,1.40%,1.40%,1.50%,1.30%,1.20%,1.30%,1.20%,Upgrade
Earnings Yield,14.01%,9.41%,9.89%,8.97%,8.05%,9.02%,5.77%,4.79%,7.27%,7.02%,5.63%,Upgrade
FCF Yield,15.68%,10.36%,9.42%,12.09%,9.46%,10.61%,7.15%,5.32%,8.19%,9.75%,10.92%,Upgrade
Dividend Yield,4.75%,3.24%,2.79%,3.94%,2.82%,3.00%,2.05%,1.90%,2.80%,2.50%,2.30%,Upgrade
Payout Ratio,34.30%,34.80%,28.60%,44.20%,35.30%,33.70%,35.90%,38.50%,38.80%,35.70%,38.20%,Upgrade
Buyback Yield / Dilution,-0.38%,-28.07%,-0.27%,0.06%,-6.34%,-0.28%,-6.55%,-17.24%,0.01%,-0.76%,-20.68%,Upgrade
Total Shareholder Return,4.37%,-24.83%,2.52%,4.00%,-3.53%,2.72%,-4.50%,-15.35%,2.81%,1.74%,-18.38%,Upgrade
