Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"67,394","62,085","66,223","48,300","48,768","35,009","33,486","29,343","25,173","27,040","25,255",Upgrade
Market Cap Growth,-,-6.25%,37.11%,-0.96%,39.30%,4.55%,14.12%,16.56%,-6.90%,7.07%,42.51%,Upgrade
Enterprise Value,"78,335","72,406","75,551","55,734","56,123","40,425","38,167","34,832","30,133","31,854","28,644",Upgrade
PE Ratio,26.56,23.98,52.77,24.53,31.83,30.87,27.31,21.02,18.18,19.36,22.69,Upgrade
PS Ratio,5.33,4.97,5.43,4.37,4.43,3.25,3.35,3.12,2.66,2.25,2.14,Upgrade
PB Ratio,-923.99,-117.36,62.42,13.82,14.45,8.43,7.31,5.36,4.19,4.12,3.10,Upgrade
P/FCF Ratio,22.91,20.54,32.38,18.28,30.29,24.21,60.77,13.52,13.92,17.38,16.57,Upgrade
P/OCF Ratio,21.13,19.29,30.35,17.36,26.58,20.76,45.62,12.62,12.53,14.92,14.41,Upgrade
EV/Sales Ratio,6.18,5.80,6.20,5.04,5.10,3.75,3.82,3.70,3.18,2.64,2.42,Upgrade
EV/EBITDA Ratio,20.51,19.21,29.91,17.61,20.79,17.37,14.41,16.24,13.88,12.35,12.20,Upgrade
EV/EBIT Ratio,22.01,20.66,34.34,20.26,26.28,25.95,21.71,19.08,16.44,16.04,16.72,Upgrade
EV/FCF Ratio,26.55,23.95,36.94,21.10,34.86,27.96,69.27,16.05,16.66,20.47,18.80,Upgrade
Debt / Equity Ratio,-171.90,-21.67,9.58,2.47,2.45,1.50,1.30,1.13,0.95,0.85,0.54,Upgrade
Debt / EBITDA Ratio,3.15,3.04,4.02,2.73,3.07,2.68,2.25,2.89,2.63,2.16,1.87,Upgrade
Debt / FCF Ratio,4.08,3.79,4.97,3.26,5.14,4.32,10.83,2.86,3.15,3.59,2.88,Upgrade
Current Ratio,1.08,1.02,1.00,1.07,1.06,1.08,1.07,1.05,1.04,1.05,1.06,Upgrade
Asset Turnover,0.38,0.38,0.37,0.35,0.38,0.40,0.38,0.36,0.34,0.40,0.40,Upgrade
Return on Equity (ROE),-1499.10%,1886.30%,41.90%,57.00%,39.60%,24.80%,23.40%,25.70%,22.50%,19.00%,14.40%,Upgrade
Return on Assets (ROA),7.90%,7.80%,3.80%,6.30%,5.30%,4.20%,4.60%,5.30%,5.00%,4.60%,3.70%,Upgrade
Return on Capital (ROIC),23.60%,23.30%,16.20%,21.00%,17.20%,16.40%,18.40%,19.00%,21.10%,23.30%,23.90%,Upgrade
Earnings Yield,3.87%,4.17%,1.90%,4.08%,3.14%,3.24%,3.66%,4.76%,5.50%,5.17%,4.41%,Upgrade
FCF Yield,4.36%,4.87%,3.09%,5.47%,3.30%,4.13%,1.65%,7.40%,7.19%,5.75%,6.03%,Upgrade
Dividend Yield,0.69%,0.75%,0.68%,0.86%,0.85%,1.38%,1.10%,1.19%,1.30%,1.02%,0.85%,Upgrade
Payout Ratio,13.40%,17.90%,35.60%,21.00%,26.80%,42.40%,29.70%,24.80%,23.30%,19.60%,19.10%,Upgrade
Buyback Yield / Dilution,4.30%,5.71%,3.00%,3.12%,2.59%,5.26%,3.55%,4.76%,5.27%,5.01%,5.17%,Upgrade
Total Shareholder Return,4.99%,6.46%,3.68%,3.98%,3.44%,6.64%,4.65%,5.95%,6.57%,6.03%,6.02%,Upgrade
