Year,Current,2022,2021
Market Capitalization,283,274,234
Market Cap Growth,-,17.18%,-
Enterprise Value,282,274,233
PE Ratio,30.06,17.68,143.24
PB Ratio,-32.70,-39.23,-11.92
P/FCF Ratio,-524.48,-832.43,-383.46
P/OCF Ratio,-524.48,-832.43,-383.46
EV/EBITDA Ratio,30.20,17.65,142.75
EV/EBIT Ratio,30.20,17.65,142.75
EV/FCF Ratio,-524.18,-831.00,-382.15
Debt / Equity Ratio,-0.02,-0.02,-0.01
Debt / EBITDA Ratio,0.02,0.01,0.10
Debt / FCF Ratio,-0.28,-0.45,-0.27
Current Ratio,2.52,2.84,5.78
Return on Equity (ROE),-112.50%,-165.90%,-
Return on Assets (ROA),4.50%,7.50%,-
Return on Capital (ROIC),4.50%,7.50%,-
Earnings Yield,3.31%,5.66%,0.70%
FCF Yield,-0.19%,-0.12%,-0.26%
Buyback Yield / Dilution,-210.36%,-,
Total Shareholder Return,-210.36%,-,
