Year,Current,2022,2021,2020,2019,2018
Market Capitalization,7,8,25,-,-,-
Market Cap Growth,-,-69.15%,-,-,-,-
Enterprise Value,-27,-26,-5,-7,-7,-7
PE Ratio,-1.67,-1.67,-13.04,-,-,-
PS Ratio,5.16,5.79,9.09,-,-,-
PB Ratio,0.21,0.23,0.65,-,-,-
P/FCF Ratio,-38.89,-38.89,-18.54,-,-,-
P/OCF Ratio,-39.35,-39.35,-18.59,-,-,-
EV/Sales Ratio,-19.53,-19.53,-1.73,-2.03,-3.42,-2.35
EV/EBITDA Ratio,5.93,5.93,2.90,-6.68,-14.65,-4.71
EV/EBIT Ratio,5.67,5.67,2.51,-8.68,-15.82,-4.81
EV/FCF Ratio,131.31,131.31,3.53,127.87,-201.88,-5.31
Debt / Equity Ratio,0.00,0.00,0.02,0.04,0.02,0.05
Debt / EBITDA Ratio,-0.03,-0.03,-0.40,0.33,0.25,0.24
Debt / FCF Ratio,-0.72,-0.72,-0.48,-6.24,3.47,0.27
Current Ratio,23.33,23.33,28.30,7.42,10.23,6.67
Asset Turnover,0.04,0.04,0.11,0.35,0.23,-
Return on Equity (ROE),-12.90%,-12.90%,-8.20%,7.80%,2.30%,-
Return on Assets (ROA),-12.40%,-12.40%,-7.70%,6.90%,2.00%,-
Return on Capital (ROIC),-22.30%,-22.30%,-35.20%,58.30%,107.90%,-
Earnings Yield,-67.15%,-59.89%,-7.67%,-,-,-
FCF Yield,-2.88%,-2.57%,-5.39%,-,-,-
Buyback Yield / Dilution,-159.33%,-50.59%,-72.21%,-,-,-
Total Shareholder Return,-159.33%,-50.59%,-72.21%,-,-,-
