Year,Current,2022,2021,2020
Market Capitalization,113,291,281,231
Market Cap Growth,-,3.69%,21.59%,-
Enterprise Value,113,291,280,229
PE Ratio,31.85,30.83,24.13,-38.13
PB Ratio,-21.58,-21.58,-13.93,-7.26
P/FCF Ratio,-304.10,-304.10,-277.08,-395.60
P/OCF Ratio,-304.10,-304.10,-277.08,-395.60
EV/EBITDA Ratio,11.08,28.52,24.07,-37.85
EV/EBIT Ratio,11.08,28.52,24.07,-37.85
EV/FCF Ratio,-304.18,-304.18,-276.38,-392.65
Debt / Equity Ratio,-0.08,-0.08,-,-
Debt / EBITDA Ratio,0.11,0.11,-,-
Debt / FCF Ratio,-1.15,-1.15,-,-
Current Ratio,0.19,0.19,0.64,15.83
Return on Equity (ROE),-78.80%,-78.80%,-159.30%,-
Return on Assets (ROA),5.10%,5.10%,5.00%,-
Return on Capital (ROIC),5.60%,5.60%,5.10%,-
Earnings Yield,8.35%,3.24%,4.14%,-2.62%
FCF Yield,-0.85%,-0.33%,-0.36%,-0.25%
Buyback Yield / Dilution,0.34%,0.34%,-509.85%,-
Total Shareholder Return,0.34%,0.34%,-509.85%,-
