Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,270,303,359,280,281,261,276,223,172,173,226,Upgrade
Market Cap Growth,-,-15.46%,28.31%,-0.66%,7.70%,-5.15%,23.69%,29.51%,-0.61%,-23.53%,2.10%,Upgrade
Enterprise Value,673,720,814,649,553,404,419,376,333,347,240,Upgrade
PE Ratio,15.30,19.34,11.92,8.82,9.13,4.56,8.00,7.11,-60.82,8.85,11.89,Upgrade
PS Ratio,2.89,3.47,4.97,4.53,4.20,4.13,5.03,4.14,3.65,4.61,6.02,Upgrade
PB Ratio,0.82,0.91,1.03,0.89,0.90,0.83,0.96,0.89,0.71,0.77,1.00,Upgrade
P/FCF Ratio,3.44,4.21,-3.98,-4.33,-2.96,8.41,38.43,6.53,-19.10,-1.24,-16.96,Upgrade
P/OCF Ratio,3.44,4.21,-3.98,-4.33,-2.96,8.41,38.43,6.53,-19.10,-1.24,-16.96,Upgrade
EV/Sales Ratio,7.19,8.23,11.28,10.52,8.24,6.38,7.64,6.99,7.07,9.25,6.39,Upgrade
EV/EBITDA Ratio,38.50,45.93,27.04,20.49,17.93,7.04,12.16,12.01,-117.65,17.78,12.63,Upgrade
EV/EBIT Ratio,38.50,45.93,27.04,20.49,17.93,7.04,12.16,12.01,-117.65,17.78,12.63,Upgrade
EV/FCF Ratio,8.55,10.01,-9.02,-10.05,-5.82,12.99,58.42,11.03,-36.95,-2.49,-18.01,Upgrade
Debt / Equity Ratio,1.29,1.33,1.36,1.23,0.96,0.56,0.63,0.73,0.75,0.85,0.48,Upgrade
Debt / EBITDA Ratio,24.27,28.14,15.84,12.16,9.70,3.07,5.29,5.82,-64.88,9.75,5.78,Upgrade
Debt / FCF Ratio,5.39,6.13,-5.29,-5.96,-3.15,5.66,25.42,5.34,-20.38,-1.36,-8.24,Upgrade
Asset Turnover,0.12,0.11,0.10,0.10,0.12,0.12,0.11,0.12,0.11,0.10,0.10,Upgrade
Return on Equity (ROE),5.20%,4.60%,9.20%,10.50%,9.80%,18.60%,12.40%,12.70%,-1.20%,8.60%,8.40%,Upgrade
Return on Assets (ROA),2.20%,1.90%,4.10%,5.00%,5.30%,11.00%,7.20%,7.10%,-0.70%,5.10%,5.20%,Upgrade
Return on Capital (ROIC),1.50%,1.30%,2.70%,3.50%,3.90%,8.30%,5.50%,5.30%,-0.50%,4.00%,5.30%,Upgrade
Earnings Yield,6.47%,5.17%,8.39%,11.33%,10.96%,21.93%,12.50%,14.06%,-1.64%,11.29%,8.41%,Upgrade
FCF Yield,29.11%,23.74%,-25.14%,-23.10%,-33.74%,11.89%,2.60%,15.32%,-5.24%,-80.76%,-5.90%,Upgrade
Dividend Yield,13.24%,11.26%,9.17%,11.35%,11.79%,11.16%,10.01%,11.67%,12.65%,12.29%,9.39%,Upgrade
Payout Ratio,202.60%,216.20%,109.50%,99.70%,107.70%,50.90%,80.20%,82.60%,-788.90%,109.20%,111.80%,Upgrade
Buyback Yield / Dilution,-0.23%,-9.83%,-2.94%,-,-0.03%,-5.69%,-6.17%,-19.48%,-2.25%,-0.08%,-0.04%,Upgrade
Total Shareholder Return,13.02%,1.43%,6.23%,11.35%,11.75%,5.47%,3.85%,-7.81%,10.40%,12.22%,9.36%,Upgrade
