Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,857,"1,346","1,383",870,"1,642","1,225","1,657","1,149",902,671,683,Upgrade
Market Cap Growth,-,-2.68%,58.97%,-47.00%,34.05%,-26.07%,44.23%,27.37%,34.33%,-1.67%,14.87%,Upgrade
Enterprise Value,876,786,-134,-116,"1,890","2,560","2,545","2,350","2,062","1,652","1,671",Upgrade
PE Ratio,8.65,14.55,11.66,-1.63,17.02,11.68,30.11,19.58,18.21,19.90,16.60,Upgrade
PS Ratio,1.96,3.26,3.18,2.27,3.66,2.85,4.54,3.85,3.36,2.97,3.01,Upgrade
PB Ratio,0.86,1.41,1.17,0.73,0.93,0.79,1.11,1.05,1.02,0.95,1.01,Upgrade
P/FCF Ratio,6.05,11.06,13.32,3.95,16.26,5.75,24.79,12.87,11.11,13.51,5.97,Upgrade
P/OCF Ratio,5.96,10.92,13.12,3.82,14.72,5.51,21.22,11.70,10.45,12.03,5.36,Upgrade
EV/Sales Ratio,2.00,1.90,-0.31,-0.30,4.21,5.95,6.97,7.88,7.69,7.29,7.36,Upgrade
EV/EBITDA Ratio,6.43,6.12,-0.81,0.22,13.83,17.05,23.07,26.47,30.89,28.19,23.66,Upgrade
EV/EBIT Ratio,7.19,6.91,-0.90,0.21,15.76,19.00,26.15,30.34,37.77,36.30,28.69,Upgrade
EV/FCF Ratio,6.18,6.46,-1.29,-0.53,18.72,12.02,38.08,26.32,25.39,33.25,14.62,Upgrade
Debt / Equity Ratio,1.03,0.13,0.09,0.48,0.47,0.98,0.76,1.20,1.42,1.48,1.57,Upgrade
Debt / EBITDA Ratio,7.53,0.98,0.67,-1.07,6.06,10.11,10.31,14.80,18.93,17.95,15.06,Upgrade
Debt / FCF Ratio,7.24,1.03,1.07,2.59,8.20,7.13,17.01,14.72,15.56,21.18,9.31,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.20%,9.20%,10.10%,-40.60%,5.60%,6.90%,4.30%,6.10%,6.00%,4.90%,6.10%,Upgrade
Return on Assets (ROA),0.90%,0.80%,1.00%,-4.10%,0.70%,0.90%,0.50%,0.70%,0.70%,0.50%,0.80%,Upgrade
Return on Capital (ROIC),1.10%,1.10%,1.40%,-4.40%,0.90%,1.10%,0.90%,0.90%,0.70%,0.70%,1.00%,Upgrade
Earnings Yield,11.67%,6.87%,8.58%,-61.29%,5.88%,8.56%,3.32%,5.11%,5.49%,5.03%,6.03%,Upgrade
FCF Yield,16.53%,9.04%,7.51%,25.33%,6.15%,17.38%,4.03%,7.77%,9.00%,7.40%,16.74%,Upgrade
Dividend Yield,3.11%,1.84%,1.72%,4.16%,2.77%,3.32%,2.01%,2.17%,2.41%,2.67%,2.63%,Upgrade
Payout Ratio,26.90%,26.60%,19.90%,-6.80%,46.50%,38.30%,60.00%,42.30%,43.70%,52.90%,43.40%,Upgrade
Buyback Yield / Dilution,8.39%,7.35%,1.42%,-1.72%,-6.90%,-16.47%,-27.36%,-9.11%,-14.93%,0.44%,-11.81%,Upgrade
Total Shareholder Return,11.50%,9.19%,3.14%,2.44%,-4.13%,-13.14%,-25.35%,-6.94%,-12.52%,3.11%,-9.17%,Upgrade
