Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"9,977","9,497","7,402","7,874","10,209","8,803","10,043","8,079","5,625","6,019","5,464",Upgrade
Market Cap Growth,-,28.31%,-6.00%,-22.88%,15.98%,-12.34%,24.30%,43.63%,-6.55%,10.16%,38.24%,Upgrade
Enterprise Value,"10,986","10,531","8,301","8,427","12,339","10,383","12,311","10,808","7,296","7,445","7,240",Upgrade
PE Ratio,10.66,15.24,12.00,18.97,11.74,12.30,5.51,11.52,11.20,8.80,13.05,Upgrade
PS Ratio,0.59,0.58,0.44,0.54,0.71,0.68,0.80,0.70,0.54,0.55,0.53,Upgrade
PB Ratio,1.29,1.34,0.57,0.55,0.88,1.04,1.05,1.14,0.92,0.86,0.92,Upgrade
P/FCF Ratio,3.60,7.21,1.78,2.39,4.49,5.67,5.18,5.69,2.72,2.68,3.16,Upgrade
P/OCF Ratio,3.57,7.07,1.77,2.37,4.43,5.57,5.07,5.51,2.69,2.58,3.16,Upgrade
EV/Sales Ratio,0.66,0.65,0.50,0.58,0.86,0.81,0.98,0.94,0.70,0.68,0.70,Upgrade
EV/EBITDA Ratio,7.49,10.04,9.64,10.92,9.11,10.00,9.17,8.94,7.94,6.64,9.53,Upgrade
EV/EBIT Ratio,7.69,10.42,10.15,11.66,9.46,10.46,9.55,9.15,8.22,6.74,9.53,Upgrade
EV/FCF Ratio,4.02,7.99,1.99,2.56,5.43,6.69,6.35,7.61,3.53,3.31,4.19,Upgrade
Debt / Equity Ratio,0.58,0.56,0.30,0.28,0.31,0.41,0.37,0.55,0.52,0.44,0.45,Upgrade
Debt / EBITDA Ratio,3.04,3.78,4.47,5.13,2.64,3.34,2.66,3.25,3.48,2.74,3.55,Upgrade
Debt / FCF Ratio,1.63,3.01,0.92,1.20,1.57,2.24,1.84,2.77,1.55,1.37,1.56,Upgrade
Asset Turnover,0.19,0.19,0.19,0.18,0.20,0.21,0.22,0.22,0.22,0.26,0.26,Upgrade
Return on Equity (ROE),15.50%,9.70%,4.80%,3.40%,8.00%,8.30%,22.00%,9.50%,7.70%,10.30%,6.80%,Upgrade
Return on Assets (ROA),1.10%,0.70%,0.70%,0.50%,1.20%,1.20%,3.20%,1.30%,1.10%,1.60%,1.10%,Upgrade
Return on Capital (ROIC),1.70%,1.20%,0.90%,0.90%,1.80%,1.60%,2.10%,2.10%,1.80%,2.50%,1.90%,Upgrade
Earnings Yield,9.55%,6.56%,8.34%,5.27%,8.52%,8.13%,18.14%,8.68%,8.93%,11.36%,7.67%,Upgrade
FCF Yield,27.79%,13.88%,56.25%,41.83%,22.26%,17.63%,19.30%,17.59%,36.71%,37.34%,31.61%,Upgrade
Dividend Yield,2.13%,2.15%,2.61%,2.42%,1.59%,1.57%,1.17%,1.24%,1.64%,1.44%,1.40%,Upgrade
Payout Ratio,22.30%,32.90%,31.40%,44.10%,18.70%,19.60%,6.40%,14.30%,18.50%,12.80%,18.60%,Upgrade
Buyback Yield / Dilution,0.49%,1.13%,0.50%,-8.51%,0.26%,2.53%,-0.31%,2.34%,4.29%,2.68%,4.42%,Upgrade
Total Shareholder Return,2.66%,3.28%,3.11%,-6.09%,1.86%,4.10%,0.86%,3.58%,5.93%,4.12%,5.82%,Upgrade
