Year,Current,2022,2021,2020
Market Capitalization,247,405,-,-
Enterprise Value,173,398,-58,-86
PE Ratio,8.12,12.74,-,-
PS Ratio,3.55,5.63,-,-
PB Ratio,1.12,1.90,-,-
P/FCF Ratio,8.47,12.28,-,-
P/OCF Ratio,8.35,12.22,-,-
EV/Sales Ratio,2.49,5.54,-0.90,-1.64
EV/EBITDA Ratio,4.28,9.49,-1.68,-3.33
EV/EBIT Ratio,4.49,9.95,-1.79,-3.71
EV/FCF Ratio,5.94,12.08,-1.81,-3.59
Debt / Equity Ratio,0.13,0.26,0.23,0.28
Debt / EBITDA Ratio,0.73,1.31,1.39,2.06
Debt / FCF Ratio,1.02,1.67,1.50,2.22
Asset Turnover,0.03,0.03,0.03,-
Return on Equity (ROE),14.40%,15.40%,12.90%,-
Return on Assets (ROA),1.30%,1.40%,1.30%,-
Return on Capital (ROIC),1.70%,1.80%,1.70%,-
Earnings Yield,12.34%,7.85%,-,-
FCF Yield,11.80%,8.15%,-,-
Dividend Yield,0.93%,0.69%,-,-
Payout Ratio,9.30%,8.80%,0.00%,0.00%
Buyback Yield / Dilution,-3.78%,-3.45%,-,-
Total Shareholder Return,-3.78%,-2.76%,-,-
