Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,270,414,454,329,379,355,339,-,-
Market Cap Growth,-,-8.95%,38.21%,-13.32%,6.95%,4.59%,-,-,-
Enterprise Value,514,653,41,133,365,423,319,-24,-38
PE Ratio,7.26,10.23,11.41,11.99,14.43,17.21,23.48,-,-
PS Ratio,2.12,3.20,3.73,3.29,4.01,4.33,4.77,-,-
PB Ratio,0.90,1.40,1.50,1.21,1.45,1.45,1.64,-,-
P/FCF Ratio,9.81,11.81,10.85,8.77,13.73,12.20,11.44,-,-
P/OCF Ratio,8.46,10.65,10.43,7.73,11.83,12.57,11.42,-,-
EV/Sales Ratio,4.04,5.06,0.34,1.34,3.86,5.16,4.49,-0.38,-0.66
EV/EBITDA Ratio,10.03,12.05,0.76,3.44,9.79,14.19,11.88,-1.14,-2.05
EV/EBIT Ratio,11.08,13.26,0.85,4.01,11.40,16.80,14.08,-1.42,-2.61
EV/FCF Ratio,18.70,18.66,0.98,3.56,13.24,14.57,10.78,-1.02,-6.88
Debt / Equity Ratio,1.34,1.17,0.29,0.57,0.29,0.57,0.35,0.94,0.72
Debt / EBITDA Ratio,7.85,6.39,1.60,4.04,2.06,4.70,2.67,4.93,4.00
Debt / FCF Ratio,14.64,9.89,2.07,4.18,2.79,4.83,2.42,4.42,13.41
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),13.00%,14.00%,13.60%,10.40%,10.30%,8.80%,7.50%,11.40%,-
Return on Assets (ROA),1.10%,1.20%,1.30%,1.00%,1.10%,0.90%,0.80%,0.70%,-
Return on Capital (ROIC),1.30%,1.50%,1.90%,1.30%,1.40%,1.10%,1.20%,1.00%,-
Earnings Yield,14.08%,9.78%,8.76%,8.34%,6.93%,5.81%,4.26%,-,-
FCF Yield,10.19%,8.47%,9.21%,11.40%,7.28%,8.19%,8.74%,-,-
Dividend Yield,3.89%,2.54%,2.13%,2.60%,2.13%,2.01%,1.31%,-,-
Payout Ratio,27.90%,26.00%,24.20%,34.70%,34.10%,33.70%,28.40%,0.00%,0.00%
Buyback Yield / Dilution,1.21%,1.22%,-10.15%,4.84%,3.00%,-7.51%,-0.05%,-,-
Total Shareholder Return,5.10%,3.76%,-8.02%,7.45%,5.13%,-5.49%,1.26%,-,-
