Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"8,744","8,583","16,067","21,890","21,255",-,-
Market Cap Growth,-,-46.58%,-26.60%,2.99%,-,-,-
Enterprise Value,"20,097","19,868","23,965","32,026","27,784","3,287","1,310"
PE Ratio,12.37,12.69,24.93,54.82,78.69,-,-
PS Ratio,3.49,3.40,7.41,13.96,16.58,-,-
PB Ratio,2.74,2.67,6.21,10.45,11.89,-,-
P/FCF Ratio,20.00,19.48,-27.22,58.15,-24.63,-,-
P/OCF Ratio,19.63,19.12,-28.39,54.14,-25.16,-,-
EV/Sales Ratio,7.97,7.87,11.05,20.43,21.67,4.31,2.28
EV/EBITDA Ratio,26.24,25.94,31.94,63.75,64.98,16.74,6.63
EV/EBIT Ratio,27.64,27.33,33.81,67.45,68.62,17.99,6.92
EV/FCF Ratio,45.62,45.10,-40.60,85.08,-32.19,-45.66,9.46
Debt / Equity Ratio,3.71,3.71,3.22,5.02,3.67,6.15,3.93
Debt / EBITDA Ratio,15.61,15.61,11.12,20.93,15.33,16.83,6.86
Debt / FCF Ratio,27.14,27.14,-14.13,27.93,-7.60,-45.91,9.79
Asset Turnover,0.08,0.08,0.10,0.11,0.17,0.24,-
Return on Equity (ROE),21.60%,21.60%,27.60%,23.50%,23.40%,28.60%,-
Return on Assets (ROA),2.00%,2.00%,2.80%,2.80%,3.50%,3.70%,-
Return on Capital (ROIC),1.70%,1.70%,2.30%,2.10%,3.30%,3.50%,-
Earnings Yield,7.68%,7.88%,4.01%,1.82%,1.27%,-,-
FCF Yield,5.00%,5.13%,-3.67%,1.72%,-4.06%,-,-
Buyback Yield / Dilution,-0.09%,-0.09%,-1.32%,-,-,-,-
Total Shareholder Return,-0.09%,-0.09%,-1.32%,-,-,-,-
