Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"7,513","5,995","5,428","4,538","2,253","1,179",946,713,-,-
Market Cap Growth,-,10.45%,19.61%,101.47%,91.00%,24.63%,32.70%,-,-,-
Enterprise Value,"7,673","6,035","5,350","4,504","2,169","1,104",865,662,5,4
PE Ratio,41.74,37.68,35.56,51.33,35.58,34.91,38.01,27.25,-,-
PS Ratio,8.52,7.32,8.49,9.87,7.13,5.31,5.07,5.04,-,-
PB Ratio,9.36,8.04,7.76,7.88,5.55,4.47,3.97,3.39,-,-
P/FCF Ratio,12.22,10.88,13.53,18.00,14.19,11.48,12.26,9.75,-,-
P/OCF Ratio,12.05,10.75,13.34,16.21,12.63,11.34,12.23,9.67,-,-
EV/Sales Ratio,8.57,7.37,8.36,9.79,6.87,4.97,4.63,4.68,0.06,0.06
EV/EBITDA Ratio,32.78,29.79,27.85,44.09,28.27,26.86,22.15,16.49,0.15,0.18
EV/EBIT Ratio,33.17,30.20,28.19,44.78,28.52,27.28,22.44,16.75,0.15,0.18
EV/FCF Ratio,12.28,10.95,13.34,17.86,13.66,10.75,11.20,9.05,0.06,0.04
Debt / Equity Ratio,0.24,0.26,0.06,0.07,0.04,-,-,-,0.26,0.30
Debt / EBITDA Ratio,0.84,0.97,0.22,0.42,0.22,-,-,-,0.87,1.37
Debt / FCF Ratio,0.31,0.36,0.11,0.17,0.11,-,-,-,0.38,0.35
Asset Turnover,0.34,0.34,0.35,0.34,0.33,0.30,0.29,0.24,0.16,-
Return on Equity (ROE),26.00%,23.90%,23.70%,18.00%,18.20%,13.40%,10.90%,16.20%,21.60%,-
Return on Assets (ROA),7.00%,6.70%,8.30%,6.50%,6.50%,4.60%,3.90%,4.50%,4.50%,-
Return on Capital (ROIC),8.90%,8.50%,10.80%,7.60%,8.60%,6.10%,7.00%,7.10%,6.80%,-
Earnings Yield,2.40%,2.65%,2.81%,1.95%,2.81%,2.86%,2.63%,3.67%,-,-
FCF Yield,8.18%,9.19%,7.39%,5.56%,7.05%,8.71%,8.16%,10.26%,-,-
Dividend Yield,0.16%,0.20%,0.19%,0.18%,0.31%,0.51%,0.55%,0.51%,-,-
Payout Ratio,6.60%,7.50%,6.50%,9.10%,10.90%,17.50%,20.20%,17.50%,-,-
Buyback Yield / Dilution,-0.85%,-0.27%,-0.92%,-3.23%,-2.08%,-0.87%,41.20%,-165.01%,-0.07%,7.21%
Total Shareholder Return,-0.69%,-0.07%,-0.73%,-3.05%,-1.77%,-0.36%,41.74%,-164.50%,-0.07%,7.21%
