Year,Current,2022,2021,2020,2019,2018,2015,2014
Market Capitalization,151,237,336,102,91,-,-,-
Market Cap Growth,-,-29.59%,229.97%,11.84%,-,-,-,-
Enterprise Value,211,517,237,410,165,67,40,21
PE Ratio,12.32,8.48,6.40,5.76,19.88,-,-,-
PS Ratio,1.21,1.68,1.87,1.13,2.37,-,-,-
PB Ratio,0.59,0.91,1.21,0.94,0.99,-,-,-
P/FCF Ratio,12.13,2.47,5.74,-0.92,-4.20,-,-,-
P/OCF Ratio,11.57,2.52,5.68,-0.94,-4.42,-,-,-
EV/Sales Ratio,1.67,3.68,1.32,4.56,4.30,2.57,4.21,2.51
EV/EBITDA Ratio,11.27,13.05,3.29,17.01,25.23,10.15,10.42,6.97
EV/EBIT Ratio,13.75,14.31,3.48,18.19,29.74,11.79,11.22,7.59
EV/FCF Ratio,16.73,5.41,4.05,-3.70,-7.61,-11.13,-6.72,13.06
Debt / Equity Ratio,1.11,1.39,0.27,3.95,1.46,2.10,1.98,1.21
Debt / EBITDA Ratio,15.30,9.07,1.05,17.71,20.56,12.50,12.48,9.74
Debt / FCF Ratio,22.71,3.76,1.29,-3.86,-6.20,-13.70,-8.04,18.23
Asset Turnover,0.04,0.05,0.06,0.06,0.05,-,0.04,-
Return on Equity (ROE),4.60%,10.60%,19.90%,18.00%,7.00%,-,10.00%,-
Return on Assets (ROA),0.40%,1.00%,1.90%,1.30%,0.60%,-,1.00%,-
Return on Capital (ROIC),0.50%,1.20%,2.40%,1.40%,0.70%,-,1.20%,-
Earnings Yield,7.69%,11.80%,15.61%,17.37%,5.03%,-,-,-
FCF Yield,8.25%,40.44%,17.42%,-108.62%,-23.83%,-,-,-
Dividend Yield,6.15%,3.90%,2.43%,2.40%,-,-,-,-
Payout Ratio,97.30%,33.40%,14.70%,13.80%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.94%,-0.91%,-118.87%,-31.56%,-,-217.14%,-46.08%,-
Total Shareholder Return,5.37%,2.99%,-116.44%,-29.16%,-,-217.14%,-46.08%,-
