Year,Current,2022,2021,2020
Market Capitalization,114,495,490,392
Market Cap Growth,-,0.92%,25.04%,-
Enterprise Value,114,494,489,390
PE Ratio,28.31,27.96,88.26,-346.73
PB Ratio,-85.51,-85.51,-17.77,-11.86
P/FCF Ratio,-914.56,-914.56,-397.46,-458.95
P/OCF Ratio,-914.56,-914.56,-397.46,-458.95
EV/EBITDA Ratio,6.43,27.96,88.16,-345.13
EV/EBIT Ratio,6.43,27.96,88.16,-345.13
EV/FCF Ratio,-914.50,-914.50,-397.00,-456.84
Debt / Equity Ratio,-,-,0.00,0.00
Debt / EBITDA Ratio,-,-,0.01,-0.10
Debt / FCF Ratio,-,-,-0.06,-0.13
Current Ratio,0.06,0.06,5.15,16.57
Return on Equity (ROE),-127.40%,-127.40%,-47.10%,-
Return on Assets (ROA),5.80%,5.80%,1.40%,-
Return on Capital (ROIC),5.80%,5.80%,1.40%,-
Earnings Yield,15.56%,3.58%,1.13%,-0.29%
FCF Yield,-0.48%,-0.11%,-0.25%,-0.22%
Buyback Yield / Dilution,2.34%,2.34%,-189.84%,-
Total Shareholder Return,2.34%,2.34%,-189.84%,-
