Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,"1,874","1,721","1,923","1,653","1,467","1,069","1,104","1,089",879,955,"1,012",Upgrade
Market Cap Growth,-,-10.52%,16.34%,12.67%,37.24%,-3.20%,1.38%,23.97%,-8.03%,-5.65%,72.01%,Upgrade
Enterprise Value,"3,505","3,275","3,030","2,711","2,651","1,987","1,796","1,723","1,364","1,324","1,223",Upgrade
PE Ratio,8.79,16.86,11.04,7.27,8.45,13.97,13.98,15.85,20.47,13.42,10.18,Upgrade
PS Ratio,5.16,5.35,6.84,5.75,5.48,5.15,5.79,6.22,5.59,6.65,7.25,Upgrade
PB Ratio,1.24,1.23,1.47,1.28,1.30,1.12,1.31,1.38,1.23,1.45,1.56,Upgrade
P/FCF Ratio,-5.55,-4.05,14.96,7.96,-6.08,-4.29,-59.13,-7.86,-7.67,-35.75,9.80,Upgrade
P/OCF Ratio,-5.55,-4.05,14.95,7.95,-6.10,-4.29,-60.01,-7.87,-7.68,-36.01,9.77,Upgrade
EV/Sales Ratio,9.69,10.18,10.78,9.44,9.89,9.56,9.41,9.84,8.68,9.22,8.75,Upgrade
EV/EBITDA Ratio,13.18,20.16,12.79,9.30,11.49,16.97,15.29,17.07,18.44,13.31,9.40,Upgrade
EV/EBIT Ratio,13.19,20.18,12.81,9.31,11.50,17.00,15.31,17.10,18.49,13.35,9.42,Upgrade
EV/FCF Ratio,-10.72,-7.71,23.58,13.06,-10.99,-7.96,-96.18,-12.43,-11.91,-49.56,11.84,Upgrade
Debt / Equity Ratio,1.15,1.13,0.95,1.00,1.15,1.01,0.94,0.83,0.82,0.92,0.75,Upgrade
Debt / EBITDA Ratio,6.46,9.73,5.25,4.44,5.63,8.23,6.70,6.49,7.97,6.12,3.73,Upgrade
Debt / FCF Ratio,-5.42,-3.72,9.68,6.24,-5.38,-3.86,-42.14,-4.72,-5.15,-22.79,4.70,Upgrade
Asset Turnover,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,Upgrade
Return on Equity (ROE),14.30%,7.50%,13.10%,19.20%,16.10%,8.20%,9.60%,9.20%,5.80%,10.80%,15.70%,Upgrade
Return on Assets (ROA),6.60%,3.50%,6.60%,9.10%,7.50%,4.30%,4.90%,4.90%,3.20%,5.90%,8.20%,Upgrade
Return on Capital (ROIC),5.90%,3.80%,6.20%,7.90%,6.70%,4.60%,5.30%,5.00%,4.10%,6.60%,8.60%,Upgrade
Earnings Yield,10.73%,5.93%,9.06%,13.75%,11.83%,7.16%,7.15%,6.31%,4.88%,7.45%,9.82%,Upgrade
FCF Yield,-17.01%,-24.70%,6.68%,12.56%,-16.45%,-23.34%,-1.69%,-12.73%,-13.04%,-2.80%,10.20%,Upgrade
Dividend Yield,14.81%,14.50%,9.35%,9.37%,9.21%,10.73%,9.28%,8.40%,9.83%,8.21%,6.61%,Upgrade
Payout Ratio,130.70%,246.20%,103.30%,68.30%,77.80%,151.80%,130.50%,136.30%,206.70%,110.70%,66.50%,Upgrade
Buyback Yield / Dilution,-15.86%,-9.23%,-3.29%,-10.53%,-11.54%,-10.19%,-12.02%,-5.90%,-10.18%,-4.86%,-22.65%,Upgrade
Total Shareholder Return,-0.96%,5.27%,6.06%,-1.16%,-2.34%,0.55%,-2.74%,2.50%,-0.35%,3.34%,-16.04%,Upgrade
