Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,783,768,982,783,"1,021",735,-,-
Market Cap Growth,-,-21.76%,25.39%,-23.27%,38.88%,-,-,-
Enterprise Value,"2,110","2,028","2,193","2,160","2,526","1,338",310,-8
PE Ratio,7.78,7.28,8.20,94.61,10.41,27.58,-,-
PS Ratio,3.15,3.50,4.97,4.03,5.16,7.40,-,-
PB Ratio,0.70,0.69,0.89,0.73,1.00,0.73,-,-
P/FCF Ratio,-2.98,-2.42,3.70,8.76,-4.20,-0.95,-,-
P/OCF Ratio,-2.98,-2.42,3.70,8.76,-4.20,-0.95,-,-
EV/Sales Ratio,8.50,9.24,11.11,11.11,12.76,13.48,12.60,-8.79
EV/EBITDA Ratio,12.89,12.78,12.81,30.07,15.37,26.42,13.53,-12.00
EV/EBIT Ratio,12.89,12.78,12.81,30.07,15.37,26.42,13.53,-12.00
EV/FCF Ratio,-8.12,-6.40,8.26,24.15,-10.41,-1.73,-0.44,0.08
Debt / Equity Ratio,1.26,1.24,1.29,1.37,1.55,0.64,0.89,0.54
Debt / EBITDA Ratio,8.60,8.73,8.26,20.31,9.58,12.57,19.68,92.93
Debt / FCF Ratio,-5.46,-4.37,5.33,16.31,-6.49,-0.82,-0.65,-0.59
Asset Turnover,0.10,0.09,0.08,0.08,0.08,0.07,0.04,0.01
Return on Equity (ROE),9.10%,9.50%,11.00%,0.80%,9.60%,3.30%,4.20%,1.10%
Return on Assets (ROA),4.00%,4.30%,4.80%,0.30%,3.90%,1.90%,3.10%,0.70%
Return on Capital (ROIC),4.30%,4.40%,4.60%,1.80%,4.30%,2.80%,3.40%,0.80%
Earnings Yield,12.91%,13.73%,12.20%,1.06%,9.61%,3.63%,-,-
FCF Yield,-32.95%,-41.24%,27.04%,11.42%,-23.79%,-105.36%,-,-
Dividend Yield,11.70%,11.60%,8.94%,11.24%,8.29%,2.15%,-,-
Payout Ratio,91.00%,84.70%,73.10%,1071.40%,86.30%,59.40%,0.00%,0.00%
Buyback Yield / Dilution,-,-10.04%,-13.70%,-33.80%,-97.29%,-1527.68%,-,
Total Shareholder Return,11.70%,11.60%,-1.10%,-2.46%,-25.51%,-95.14%,-1527.68%,-
