Year,Current,2022
Market Capitalization,116,112
Enterprise Value,116,111
PE Ratio,259.00,985.32
PB Ratio,-54.15,-55.05
P/FCF Ratio,-134.38,-217.62
P/OCF Ratio,-134.38,-217.62
EV/EBITDA Ratio,106.87,368.44
EV/EBIT Ratio,106.87,368.44
EV/FCF Ratio,-133.39,-215.34
Current Ratio,2.14,3.17
Return on Equity (ROE),-40.80%,-7.20%
Return on Assets (ROA),0.80%,0.10%
Return on Capital (ROIC),1.20%,0.30%
Earnings Yield,0.62%,0.10%
FCF Yield,-0.74%,-0.46%
Buyback Yield / Dilution,-158.80%,-
Total Shareholder Return,-158.80%,-
