Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,942","2,740","3,397","2,350","2,589","2,227","2,625","1,943","1,538",733,602,Upgrade
Market Cap Growth,-,-19.33%,44.54%,-9.25%,16.26%,-15.15%,35.06%,26.39%,109.90%,21.71%,42.58%,Upgrade
Enterprise Value,"2,950","3,444","3,654",902,"3,429","3,189","3,670","2,106","1,608",643,308,Upgrade
PE Ratio,8.20,10.69,12.53,9.22,10.89,10.33,28.24,20.08,20.75,20.53,25.91,Upgrade
PS Ratio,2.24,3.14,4.16,2.92,3.42,3.38,5.62,4.88,4.22,3.24,3.60,Upgrade
PB Ratio,0.58,0.84,1.05,0.79,0.87,0.99,1.26,1.69,1.43,1.48,1.49,Upgrade
P/FCF Ratio,6.03,9.55,14.42,12.39,13.76,11.29,31.32,26.31,20.43,24.09,19.22,Upgrade
P/OCF Ratio,5.39,8.50,12.23,11.60,10.11,9.81,22.91,21.33,18.23,62.89,16.68,Upgrade
EV/Sales Ratio,3.41,3.94,4.48,1.12,4.53,4.84,7.85,5.29,4.41,2.84,1.84,Upgrade
EV/EBITDA Ratio,8.86,9.69,9.62,2.45,10.12,10.83,20.85,13.13,13.30,11.04,7.97,Upgrade
EV/EBIT Ratio,10.41,11.23,10.99,2.82,11.34,11.99,23.69,14.69,14.99,12.78,9.47,Upgrade
EV/FCF Ratio,9.17,12.00,15.51,4.76,18.21,16.17,43.78,28.51,21.36,21.13,9.84,Upgrade
Debt / Equity Ratio,0.46,0.42,0.59,0.68,0.61,0.80,0.79,0.39,0.30,0.50,0.61,Upgrade
Debt / EBITDA Ratio,4.61,3.90,5.02,5.49,5.42,6.10,9.34,2.80,2.67,4.22,6.35,Upgrade
Debt / FCF Ratio,4.76,4.83,8.10,10.67,9.75,9.10,19.60,6.07,4.28,8.09,7.84,Upgrade
Asset Turnover,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),7.30%,8.10%,8.90%,8.70%,9.20%,9.90%,6.50%,8.70%,7.10%,7.90%,5.80%,Upgrade
Return on Assets (ROA),0.90%,1.00%,1.10%,1.20%,1.30%,1.30%,0.90%,1.20%,1.00%,0.80%,0.60%,Upgrade
Return on Capital (ROIC),1.10%,1.20%,1.50%,1.60%,1.70%,1.60%,1.50%,1.90%,1.50%,1.20%,1.00%,Upgrade
Earnings Yield,12.20%,9.36%,7.98%,10.84%,9.18%,9.69%,3.54%,4.98%,4.82%,4.87%,3.86%,Upgrade
FCF Yield,16.57%,10.47%,6.93%,8.07%,7.27%,8.86%,3.19%,3.80%,4.89%,4.15%,5.20%,Upgrade
Dividend Yield,5.05%,3.52%,2.43%,3.15%,2.39%,2.49%,1.75%,1.54%,1.79%,2.16%,2.26%,Upgrade
Payout Ratio,41.40%,36.70%,29.10%,29.30%,26.40%,25.60%,37.30%,30.40%,34.80%,41.70%,59.20%,Upgrade
Buyback Yield / Dilution,-13.15%,-10.57%,-5.50%,-12.61%,-4.71%,-0.39%,-47.01%,-4.45%,-66.13%,-11.23%,2.67%,Upgrade
Total Shareholder Return,-8.10%,-7.05%,-3.06%,-9.46%,-2.33%,2.09%,-45.26%,-2.90%,-64.34%,-9.07%,4.93%,Upgrade
