Year,Current,2022,2021,2020,2019
Market Capitalization,"1,247","1,249","1,638",-,-
Market Cap Growth,-,-23.74%,-,-,-
Enterprise Value,"1,520","1,527","1,823",285,133
PE Ratio,56.63,42.76,178.53,-,-
PS Ratio,5.89,6.30,10.88,-,-
PB Ratio,3.21,3.18,4.14,-,-
P/FCF Ratio,17.08,20.73,33.50,-,-
P/OCF Ratio,16.71,20.25,33.41,-,-
EV/Sales Ratio,7.16,7.70,12.11,4.23,2.96
EV/EBITDA Ratio,22.98,21.17,33.14,12.11,5.68
EV/EBIT Ratio,40.36,34.11,75.04,35.76,10.38
EV/FCF Ratio,20.76,25.35,37.28,26.79,7.92
Debt / Equity Ratio,0.78,0.78,0.58,4.98,4.23
Debt / EBITDA Ratio,4.62,4.27,4.15,12.65,6.52
Debt / FCF Ratio,4.17,5.11,4.67,28.00,9.08
Asset Turnover,0.29,0.28,0.24,0.17,-
Return on Equity (ROE),5.50%,7.30%,4.00%,48.20%,-
Return on Assets (ROA),3.00%,4.20%,1.50%,5.90%,-
Return on Capital (ROIC),10.20%,13.60%,7.30%,3.00%,-
Earnings Yield,1.76%,2.34%,0.56%,-,-
FCF Yield,5.85%,4.82%,2.99%,-,-
Dividend Yield,1.11%,0.88%,-,-,-
Payout Ratio,45.00%,36.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-1.97%,-8.30%,-73.07%,-2.34%,-
Total Shareholder Return,-0.85%,-7.42%,-73.07%,-2.34%,-
