Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"4,894","8,754","11,410","7,769","10,343","11,107","15,098","11,733","7,393","8,417","8,696",Upgrade
Market Cap Growth,-,-23.28%,46.86%,-24.88%,-6.88%,-26.43%,28.68%,58.71%,-12.16%,-3.21%,50.57%,Upgrade
Enterprise Value,"12,260","8,707","-8,473","-2,270","11,865","13,053","13,885","9,700","4,327","5,137","6,041",Upgrade
PE Ratio,3.57,7.80,10.01,16.12,8.65,9.05,20.46,24.81,14.36,14.36,16.31,Upgrade
PS Ratio,1.31,2.52,3.41,3.27,3.16,3.34,4.88,4.51,2.87,3.39,3.47,Upgrade
PB Ratio,0.82,1.69,1.45,0.97,1.41,1.48,1.90,1.51,0.98,1.14,1.22,Upgrade
P/FCF Ratio,2.84,15.74,20.23,9.15,10.30,7.28,14.86,30.01,9.91,14.79,11.85,Upgrade
P/OCF Ratio,2.70,13.72,18.00,8.37,9.49,6.87,13.91,24.14,8.55,13.17,10.40,Upgrade
EV/Sales Ratio,3.29,2.51,-2.53,-0.96,3.62,3.92,4.49,3.73,1.68,2.07,2.41,Upgrade
EV/EBITDA Ratio,7.06,5.55,-5.33,-3.11,7.18,7.89,10.25,12.26,4.98,5.17,6.65,Upgrade
EV/EBIT Ratio,7.44,5.90,-5.69,-3.65,7.71,8.50,11.25,14.48,5.77,5.90,7.69,Upgrade
EV/FCF Ratio,7.11,15.66,-15.02,-2.67,11.82,8.55,13.67,24.81,5.80,9.03,8.23,Upgrade
Debt / Equity Ratio,3.02,1.20,0.35,0.71,1.00,0.87,0.58,0.67,0.41,0.38,0.53,Upgrade
Debt / EBITDA Ratio,10.43,3.98,1.76,7.86,4.44,3.93,3.42,6.55,3.55,2.81,4.18,Upgrade
Debt / FCF Ratio,10.50,11.21,4.96,6.75,7.31,4.26,4.56,13.26,4.13,4.91,5.17,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.05,0.05,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),22.20%,18.90%,14.30%,6.20%,16.30%,15.60%,9.30%,6.10%,6.80%,7.90%,7.60%,Upgrade
Return on Assets (ROA),1.40%,1.30%,1.30%,0.60%,1.70%,1.70%,1.00%,0.70%,0.70%,0.90%,0.80%,Upgrade
Return on Capital (ROIC),1.90%,1.80%,2.00%,0.80%,2.00%,2.10%,1.70%,0.90%,1.10%,1.30%,1.30%,Upgrade
Earnings Yield,25.69%,12.82%,9.99%,6.20%,11.55%,11.05%,4.89%,4.03%,6.97%,6.96%,6.13%,Upgrade
FCF Yield,35.23%,6.35%,4.94%,10.93%,9.71%,13.74%,6.73%,3.33%,10.09%,6.76%,8.44%,Upgrade
Dividend Yield,8.11%,4.07%,3.13%,4.87%,3.74%,2.68%,1.26%,1.31%,1.98%,1.69%,1.43%,Upgrade
Payout Ratio,28.70%,31.80%,32.20%,78.80%,33.60%,25.20%,25.80%,32.50%,28.30%,24.10%,23.30%,Upgrade
Buyback Yield / Dilution,-0.21%,0.15%,5.71%,3.51%,10.85%,7.02%,-0.96%,2.53%,1.64%,1.76%,3.91%,Upgrade
Total Shareholder Return,7.90%,4.22%,8.83%,8.38%,14.59%,9.70%,0.30%,3.84%,3.63%,3.45%,5.34%,Upgrade
