Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"12,124","11,489","8,899","11,345","7,668","6,158","5,628","5,194","4,418","4,193","3,405",Upgrade
Market Cap Growth,-,29.10%,-21.56%,47.95%,24.52%,9.41%,8.35%,17.58%,5.37%,23.14%,4.50%,Upgrade
Enterprise Value,"11,999","11,322","8,771","11,262","7,394","5,589","5,391","4,974","4,173","3,679","2,953",Upgrade
PE Ratio,38.33,38.48,29.88,38.68,24.20,21.37,28.57,24.69,25.29,25.03,20.89,Upgrade
PS Ratio,4.17,4.05,3.38,4.47,3.10,2.59,3.33,3.25,2.93,2.98,0.54,Upgrade
PB Ratio,8.19,7.93,6.63,9.55,6.77,6.32,6.56,6.36,5.74,5.96,4.64,Upgrade
P/FCF Ratio,38.06,38.40,35.04,39.52,29.13,28.87,33.46,22.67,21.57,25.18,3.95,Upgrade
P/OCF Ratio,31.18,31.38,22.09,33.11,21.03,23.36,28.55,20.42,20.32,22.54,3.77,Upgrade
EV/Sales Ratio,4.11,3.99,3.33,4.44,2.98,2.35,3.19,3.12,2.77,2.61,0.47,Upgrade
EV/EBITDA Ratio,30.01,29.92,23.05,30.50,18.60,14.95,17.01,15.53,15.67,14.64,4.33,Upgrade
EV/EBIT Ratio,30.01,29.92,23.05,30.50,18.60,14.95,17.01,15.53,15.67,14.64,4.33,Upgrade
EV/FCF Ratio,37.50,37.84,34.53,39.23,28.08,26.20,32.05,21.71,20.37,22.09,3.43,Upgrade
Debt / Equity Ratio,-,-,0.07,0.08,0.09,0.10,0.09,0.03,-,-,-,Upgrade
Debt / EBITDA Ratio,-,-,0.25,0.26,0.25,0.27,0.24,0.08,-,-,-,Upgrade
Debt / FCF Ratio,-,-,0.37,0.33,0.37,0.47,0.44,0.11,-,-,-,Upgrade
Current Ratio,1.28,1.17,1.21,1.17,1.52,2.14,1.57,1.42,1.43,-,-,Upgrade
Asset Turnover,1.32,1.29,1.21,1.22,1.29,1.41,1.07,1.10,0.11,0.08,0.39,Upgrade
Return on Equity (ROE),22.50%,21.80%,23.40%,24.70%,29.30%,31.90%,23.10%,25.80%,23.60%,22.60%,24.40%,Upgrade
Return on Assets (ROA),14.30%,13.50%,13.60%,14.10%,16.50%,17.00%,12.40%,14.50%,1.30%,1.00%,1.00%,Upgrade
Return on Capital (ROIC),27.30%,25.50%,25.40%,27.00%,35.00%,35.00%,31.20%,36.10%,2.00%,1.50%,4.30%,Upgrade
Earnings Yield,2.60%,2.60%,3.35%,2.59%,4.13%,4.68%,3.50%,4.05%,3.95%,4.00%,4.79%,Upgrade
FCF Yield,2.63%,2.60%,2.85%,2.53%,3.43%,3.46%,2.99%,4.41%,4.64%,3.97%,25.29%,Upgrade
Dividend Yield,1.99%,2.02%,2.43%,2.70%,2.46%,2.85%,2.91%,2.21%,4.10%,3.19%,2.76%,Upgrade
Payout Ratio,66.60%,69.30%,64.70%,93.00%,52.90%,54.30%,74.00%,48.50%,92.10%,70.80%,51.40%,Upgrade
Buyback Yield / Dilution,0.01%,0.02%,0.01%,0.01%,-0.01%,0.04%,0.19%,0.12%,0.22%,0.45%,1.29%,Upgrade
Total Shareholder Return,1.99%,2.04%,2.45%,2.71%,2.45%,2.90%,3.10%,2.33%,4.33%,3.64%,4.05%,Upgrade
