Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2001
Market Capitalization,"124,697","112,587","141,857","69,756","100,165","84,283","63,327","51,440","47,046","32,510","29,242",Upgrade
Market Cap Growth,-,-20.63%,103.36%,-30.36%,18.84%,33.09%,23.11%,9.34%,44.71%,11.18%,10.71%,Upgrade
Enterprise Value,"139,636","127,525","153,293","86,997","116,607","103,883","72,913","62,065","53,134","35,436","37,105",Upgrade
PE Ratio,26.41,22.23,31.94,20.21,31.49,30.74,29.26,28.92,29.67,24.54,25.69,Upgrade
PS Ratio,10.65,9.61,13.31,7.80,11.64,10.79,9.69,9.27,9.85,7.91,7.58,Upgrade
PB Ratio,3.79,3.43,4.82,2.78,4.25,4.67,4.01,3.92,3.93,3.66,3.39,Upgrade
P/FCF Ratio,17.12,15.46,11.52,34.36,41.47,64.41,11.21,21.28,29.22,16.56,25.80,Upgrade
P/OCF Ratio,16.35,14.77,11.30,30.73,37.82,58.20,10.84,20.05,26.93,15.31,22.21,Upgrade
EV/Sales Ratio,11.92,10.89,14.38,9.73,13.55,13.30,11.16,11.19,11.12,8.62,9.62,Upgrade
EV/EBITDA Ratio,19.87,18.15,24.80,17.33,22.94,23.61,20.71,21.33,20.67,16.30,20.02,Upgrade
EV/EBIT Ratio,20.52,18.74,25.58,17.93,23.77,24.43,21.54,22.18,21.63,17.44,21.99,Upgrade
EV/FCF Ratio,19.18,17.51,12.44,42.85,48.28,79.39,12.91,25.68,33.00,18.05,32.74,Upgrade
Debt / Equity Ratio,0.90,0.90,0.82,1.01,1.15,1.58,1.03,1.24,0.96,1.03,1.38,Upgrade
Debt / EBITDA Ratio,4.22,4.22,3.90,5.05,5.32,6.46,4.61,5.61,4.49,4.20,6.42,Upgrade
Debt / FCF Ratio,4.07,4.07,1.96,12.49,11.20,21.72,2.87,6.75,7.17,4.64,10.49,Upgrade
Asset Turnover,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),16.60%,16.60%,16.10%,14.80%,15.70%,16.20%,14.80%,14.60%,15.50%,15.90%,14.30%,Upgrade
Return on Assets (ROA),2.00%,2.00%,1.90%,1.80%,1.80%,1.70%,1.70%,1.70%,1.70%,1.70%,1.60%,Upgrade
Return on Capital (ROIC),2.50%,2.50%,2.40%,2.30%,2.50%,2.50%,2.40%,2.50%,2.60%,2.40%,2.20%,Upgrade
Earnings Yield,4.06%,4.50%,3.13%,4.95%,3.18%,3.25%,3.42%,3.46%,3.37%,4.08%,3.89%,Upgrade
FCF Yield,5.84%,6.47%,8.68%,2.91%,2.41%,1.55%,8.92%,4.70%,3.42%,6.04%,3.88%,Upgrade
Dividend Yield,0.28%,2.58%,-,3.30%,1.47%,1.50%,1.68%,1.72%,1.78%,2.24%,1.96%,Upgrade
Payout Ratio,19.10%,19.10%,0.00%,22.30%,15.90%,15.40%,16.50%,16.70%,17.80%,18.40%,16.90%,Upgrade
Buyback Yield / Dilution,-7.56%,-0.54%,-0.67%,-4.94%,-1.27%,-1.36%,-0.87%,-4.48%,-0.83%,-1.39%,-0.88%,Upgrade
Total Shareholder Return,-7.28%,2.04%,-0.67%,-1.65%,0.20%,0.14%,0.82%,-2.75%,0.96%,0.84%,1.07%,Upgrade
