Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"46,234","39,752","35,169","23,792","17,763","13,535","11,441","9,246","7,234","7,597","6,173",Upgrade
Market Cap Growth,-,13.03%,47.82%,33.95%,31.23%,18.30%,23.74%,27.81%,-4.79%,23.07%,43.23%,Upgrade
Enterprise Value,"52,112","45,428","37,295","25,083","20,086","14,909","12,269","10,156","7,795","8,308","6,303",Upgrade
PE Ratio,40.34,35.68,38.78,29.06,26.56,21.37,23.77,23.30,20.27,25.04,22.98,Upgrade
PS Ratio,5.27,4.65,4.28,3.40,2.47,1.95,1.83,1.63,1.34,1.64,1.94,Upgrade
PB Ratio,4.74,4.35,4.13,3.85,3.45,3.01,2.70,2.57,1.99,2.35,2.96,Upgrade
P/FCF Ratio,23.91,20.46,22.32,13.93,16.88,21.13,15.78,21.41,12.32,21.40,22.13,Upgrade
P/OCF Ratio,21.94,18.70,20.64,13.17,14.91,17.69,13.39,14.23,10.54,17.40,16.57,Upgrade
EV/Sales Ratio,5.91,5.31,4.54,3.58,2.79,2.15,1.96,1.79,1.45,1.80,1.98,Upgrade
EV/EBITDA Ratio,23.12,20.82,21.69,15.77,16.29,14.99,14.71,13.35,11.16,13.50,12.51,Upgrade
EV/EBIT Ratio,31.50,28.71,32.35,24.40,26.47,25.91,27.37,24.78,21.40,23.31,19.39,Upgrade
EV/FCF Ratio,26.80,23.38,23.67,14.69,19.09,23.27,16.92,23.52,13.28,23.40,22.60,Upgrade
Debt / Equity Ratio,0.73,0.70,0.77,0.79,0.96,0.80,0.74,0.79,0.67,0.74,0.70,Upgrade
Debt / EBITDA Ratio,3.18,2.94,3.83,3.06,4.01,3.63,3.76,3.74,3.51,3.89,2.89,Upgrade
Debt / FCF Ratio,3.69,3.30,4.18,2.85,4.70,5.64,4.32,6.60,4.18,6.74,5.22,Upgrade
Current Ratio,1.06,1.04,1.06,1.10,1.02,1.06,1.08,0.96,1.01,1.05,0.88,Upgrade
Asset Turnover,0.22,0.21,0.29,0.33,0.38,0.43,0.48,0.51,0.52,0.50,0.54,Upgrade
Return on Equity (ROE),12.80%,12.50%,11.30%,14.60%,13.50%,14.10%,12.10%,11.00%,10.10%,10.20%,14.50%,Upgrade
Return on Assets (ROA),2.90%,2.80%,3.20%,3.80%,3.50%,3.90%,3.70%,3.50%,3.40%,3.30%,4.50%,Upgrade
Return on Capital (ROIC),20.60%,22.60%,19.00%,19.40%,14.70%,15.70%,15.00%,17.60%,17.80%,20.50%,57.60%,Upgrade
Earnings Yield,2.50%,2.80%,2.58%,3.44%,3.77%,4.68%,4.21%,4.29%,4.93%,3.99%,4.35%,Upgrade
FCF Yield,4.18%,4.89%,4.48%,7.18%,5.92%,4.73%,6.34%,4.67%,8.12%,4.67%,4.52%,Upgrade
Dividend Yield,0.96%,1.08%,1.13%,1.46%,1.81%,2.23%,2.47%,2.93%,3.62%,3.06%,2.98%,Upgrade
Payout Ratio,37.90%,38.50%,43.00%,42.00%,47.80%,47.30%,58.40%,68.20%,71.50%,72.70%,67.30%,Upgrade
Buyback Yield / Dilution,-1.70%,-1.72%,-7.78%,-3.11%,-1.56%,-1.58%,-1.61%,-0.71%,-9.49%,-22.68%,-5.75%,Upgrade
Total Shareholder Return,-0.74%,-0.64%,-6.64%,-1.65%,0.24%,0.65%,0.86%,2.22%,-5.88%,-19.62%,-2.77%,Upgrade
