Year,Current,2022,2020,2019
Market Capitalization,135,80,374,360
Market Cap Growth,-,-78.61%,3.69%,-
Enterprise Value,"25,798","19,906","18,205",359
PE Ratio,-0.44,-0.42,0.72,6.63
PS Ratio,0.30,0.14,0.21,0.40
PB Ratio,0.45,0.32,0.60,72.09
P/FCF Ratio,0.10,0.06,-0.54,3.72
P/OCF Ratio,0.10,0.06,-0.54,3.56
EV/Sales Ratio,57.76,34.73,10.11,0.40
EV/EBITDA Ratio,-237.79,-146.72,33.47,4.47
EV/EBIT Ratio,-143.19,-96.07,34.96,6.48
EV/FCF Ratio,19.89,14.25,-26.19,3.71
Debt / Equity Ratio,87.87,79.03,29.24,-
Debt / EBITDA Ratio,-239.81,-147.90,33.78,-
Debt / FCF Ratio,20.02,14.37,-26.43,-
Current Ratio,-,-,0.51,17.31
Asset Turnover,0.02,0.03,0.35,4.06
Return on Equity (ROE),-59.00%,-58.10%,322.40%,1450.20%
Return on Assets (ROA),-0.80%,-0.90%,10.10%,24.80%
Return on Capital (ROIC),-0.40%,-0.50%,5.50%,25.40%
Earnings Yield,-134.59%,-238.46%,138.70%,15.10%
FCF Yield,974.44%,1746.55%,-185.98%,26.87%
Buyback Yield / Dilution,-0.45%,-423.79%,-,-
Total Shareholder Return,-0.45%,-423.79%,-,-
