Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"3,658","5,612","7,271","4,885","4,900","3,591","5,153","3,200","2,098","1,410","1,143",Upgrade
Market Cap Growth,-,-22.82%,48.85%,-0.32%,36.47%,-30.32%,61.02%,52.53%,48.80%,23.32%,74.93%,Upgrade
Enterprise Value,"3,579","5,518","4,634","2,810","7,311","4,902","6,294","3,859","2,298","1,608","1,194",Upgrade
PE Ratio,6.55,10.29,14.20,16.03,12.22,9.99,29.62,25.15,21.97,20.01,19.81,Upgrade
PS Ratio,2.41,3.80,5.54,5.22,4.89,3.98,7.75,7.48,6.68,5.83,5.32,Upgrade
PB Ratio,0.64,1.02,1.37,1.00,1.13,0.91,1.39,2.14,1.82,1.76,1.58,Upgrade
P/FCF Ratio,4.44,10.37,11.46,12.62,12.58,7.98,45.85,23.28,28.16,15.81,9.44,Upgrade
P/OCF Ratio,4.01,9.28,11.06,11.45,11.36,7.63,31.07,21.01,24.80,14.83,9.04,Upgrade
EV/Sales Ratio,2.35,3.73,3.53,3.00,7.29,5.43,9.47,9.02,7.32,6.64,5.55,Upgrade
EV/EBITDA Ratio,4.59,7.26,6.57,6.75,14.45,11.50,22.94,20.15,14.98,13.99,12.55,Upgrade
EV/EBIT Ratio,5.03,7.91,7.11,7.57,14.70,10.90,21.12,20.17,16.06,15.22,13.91,Upgrade
EV/FCF Ratio,4.34,10.19,7.30,7.26,18.78,10.89,56.00,28.08,30.84,18.03,9.86,Upgrade
Debt / Equity Ratio,0.48,0.20,0.28,0.38,0.67,0.51,0.52,0.56,0.45,0.48,0.36,Upgrade
Debt / EBITDA Ratio,3.52,1.43,2.08,4.53,5.81,4.77,7.00,4.40,3.40,3.36,2.73,Upgrade
Debt / FCF Ratio,3.33,2.00,2.31,4.88,7.54,4.52,17.09,6.13,6.99,4.32,2.14,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.10%,10.20%,10.00%,6.50%,9.50%,9.30%,5.50%,9.30%,9.70%,9.10%,8.20%,Upgrade
Return on Assets (ROA),1.30%,1.30%,1.40%,0.90%,1.50%,1.50%,0.90%,1.20%,1.30%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),1.80%,1.80%,2.00%,1.20%,1.80%,1.90%,1.60%,1.80%,1.90%,1.80%,1.60%,Upgrade
Earnings Yield,15.14%,9.72%,7.04%,6.24%,8.18%,10.01%,3.38%,3.98%,4.55%,5.00%,5.05%,Upgrade
FCF Yield,22.52%,9.65%,8.73%,7.92%,7.95%,12.53%,2.18%,4.29%,3.55%,6.32%,10.59%,Upgrade
Dividend Yield,1.85%,1.19%,0.75%,0.99%,1.00%,1.25%,0.70%,0.77%,0.87%,0.80%,0.24%,Upgrade
Payout Ratio,12.00%,12.20%,10.60%,15.80%,12.20%,12.40%,20.50%,18.90%,18.60%,15.80%,4.70%,Upgrade
Buyback Yield / Dilution,-0.15%,-0.27%,-0.36%,1.45%,0.89%,-20.40%,-47.10%,-15.16%,-8.10%,-1.79%,-0.06%,Upgrade
Total Shareholder Return,1.70%,0.92%,0.39%,2.44%,1.89%,-19.15%,-46.40%,-14.40%,-7.24%,-0.99%,0.18%,Upgrade
