Year,Current,2022,2021
Market Capitalization,193,188,182
Market Cap Growth,-,3.29%,-
Enterprise Value,193,188,181
PE Ratio,25.13,24.78,41.55
PB Ratio,-33.16,-33.16,-16.64
P/FCF Ratio,-330.90,-330.90,-144.75
P/OCF Ratio,-330.90,-330.90,-144.75
EV/EBITDA Ratio,25.37,24.75,41.36
EV/EBIT Ratio,25.37,24.75,41.36
EV/FCF Ratio,-330.49,-330.49,-144.11
Current Ratio,2.41,2.41,48.96
Return on Equity (ROE),-124.40%,-124.40%,-113.90%
Return on Assets (ROA),5.00%,5.00%,3.80%
Return on Capital (ROIC),5.00%,5.00%,3.90%
Earnings Yield,3.94%,4.04%,2.41%
FCF Yield,-0.29%,-0.30%,-0.69%
Buyback Yield / Dilution,-53.31%,-53.31%,-
Total Shareholder Return,-53.31%,-53.31%,-
