Year,Current,2022,2021,2020,2019
Market Capitalization,68,73,65,-,-
Market Cap Growth,-,11.61%,-,-,-
Enterprise Value,44,58,24,-32,-21
PE Ratio,49.18,41.46,24.77,-,-
PS Ratio,4.25,4.59,4.28,-,-
PB Ratio,0.80,0.86,0.75,-,-
P/FCF Ratio,10.24,17.53,17.21,-,-
P/OCF Ratio,8.79,16.52,16.56,-,-
EV/Sales Ratio,2.72,3.68,1.54,-2.70,-1.99
EV/EBITDA Ratio,16.25,18.92,5.98,-42.97,-11.08
EV/EBIT Ratio,22.14,23.99,6.79,-93.15,-13.58
EV/FCF Ratio,6.55,14.04,6.18,29.54,31.46
Debt / Equity Ratio,0.02,0.13,-,0.24,0.07
Debt / EBITDA Ratio,0.72,3.56,-,12.64,1.47
Debt / FCF Ratio,0.29,2.64,-,-8.68,-4.16
Asset Turnover,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),1.60%,2.10%,4.20%,0.80%,-
Return on Assets (ROA),0.30%,0.40%,0.70%,0.10%,-
Return on Capital (ROIC),0.50%,0.60%,1.10%,0.10%,-
Earnings Yield,2.04%,2.41%,4.04%,-,-
FCF Yield,9.77%,5.70%,5.81%,-,-
Dividend Yield,0.73%,0.33%,-,-,-
Payout Ratio,17.90%,13.90%,0.00%,-,-
Buyback Yield / Dilution,-1.55%,-11.67%,6.99%,-,-
Total Shareholder Return,-0.82%,-11.34%,6.99%,-,-
