Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,10,7,62,10,2,3,5,13,29,-,-
Market Cap Growth,-,-88.39%,503.13%,329.41%,-11.47%,-47.95%,-61.18%,-54.22%,-,-,-
Enterprise Value,6,-1,25,-1,5,-3,5,16,28,5,7
PE Ratio,-0.35,-0.25,13.08,-2.55,-0.80,-5.75,-0.60,-5.67,-1455.50,-,-
PS Ratio,2.72,4.17,69.23,8.17,1.01,0.80,1.19,2.74,4.22,-,-
PB Ratio,0.24,0.15,1.02,0.90,0.85,0.47,5.81,3.22,4.68,-,-
P/FCF Ratio,-0.55,-0.30,-4.68,-2.93,-2.05,-3.58,-2.87,-3.71,13.30,-,-
P/OCF Ratio,-1.05,-0.79,23.03,-2.93,-2.07,-3.58,-2.88,-4.01,13.04,-,-
EV/Sales Ratio,1.51,-0.57,27.95,-0.75,2.09,-0.87,1.06,3.33,4.00,0.71,1.09
EV/EBITDA Ratio,-0.21,0.04,4.84,0.24,-1.79,-48.15,-1.04,-5.29,37.12,5.49,2.54
EV/EBIT Ratio,-0.20,0.04,4.94,0.24,-1.71,399.20,-1.02,-5.29,37.12,5.49,2.54
EV/FCF Ratio,-0.30,0.04,-1.89,0.27,-4.25,3.87,-2.56,-4.51,12.63,2.37,4.00
Debt / Equity Ratio,0.01,0.02,0.00,0.04,1.34,0.01,0.04,1.24,1.20,-6.50,-3.24
Debt / EBITDA Ratio,-0.02,-0.03,0.04,-0.12,-1.36,0.70,-0.01,-1.67,10.03,7.54,2.80
Debt / FCF Ratio,-0.03,-0.03,-0.01,-0.13,-3.25,-0.06,-0.02,-1.43,3.41,3.26,4.40
Current Ratio,3.13,4.74,35.21,20.36,0.43,23.40,-,-,-,-,-
Asset Turnover,0.07,0.03,0.02,0.14,0.26,1.09,0.72,0.42,0.66,1.17,-
Return on Equity (ROE),-52.40%,-49.70%,12.40%,-50.80%,-67.50%,-20.70%,-579.20%,-47.00%,-0.80%,0.00%,-
Return on Assets (ROA),-48.70%,-46.60%,12.00%,-45.90%,-32.60%,-15.20%,-141.60%,-20.10%,-0.20%,0.00%,-
Return on Capital (ROIC),-55.70%,-58.30%,30.80%,-420.80%,-63.80%,-0.40%,-51.30%,-23.60%,6.00%,7.60%,-
Earnings Yield,-275.92%,-404.61%,7.65%,-39.17%,-125.06%,-17.40%,-165.46%,-17.65%,-0.07%,-,-
FCF Yield,-176.00%,-329.35%,-21.37%,-34.16%,-48.68%,-27.94%,-34.89%,-26.96%,7.52%,-,-
Buyback Yield / Dilution,-0.24%,-65.05%,-388.46%,-158.95%,-214.40%,-196.64%,-1.82%,-,-,-,-
Total Shareholder Return,-0.24%,-65.05%,-388.46%,-158.95%,-214.40%,-196.64%,-1.82%,-,-,-,-
