Year,Current,2022,2021,2020,2019
Market Capitalization,17,18,35,61,122
Market Cap Growth,-,-48.13%,-42.51%,-49.85%,-
Enterprise Value,20,18,29,59,115
PE Ratio,-519.05,-6.27,-4.11,-4.11,284.18
PS Ratio,5.95,10.94,37.54,94.82,39.62
PB Ratio,3.89,3.86,3.68,3.52,10.89
P/FCF Ratio,-18.56,529.35,-12.68,-9.04,-37.11
P/OCF Ratio,-20.04,-124.16,-13.19,-10.38,-40.40
EV/Sales Ratio,6.05,10.64,31.04,91.18,37.47
EV/EBITDA Ratio,19.68,-7.62,-3.71,-4.06,152.52
EV/EBIT Ratio,39.10,-6.09,-3.40,-3.95,163.39
EV/FCF Ratio,-18.82,514.66,-10.49,-8.69,-35.09
Debt / Equity Ratio,0.26,0.30,0.08,0.04,-
Debt / EBITDA Ratio,1.30,-0.61,-0.10,-0.04,-
Debt / FCF Ratio,-1.01,41.15,-0.28,-0.09,-
Current Ratio,2.73,2.14,7.42,0.67,9.28
Asset Turnover,0.36,0.17,0.03,0.02,0.38
Return on Equity (ROE),-0.80%,-40.70%,-63.50%,-104.10%,6.50%
Return on Assets (ROA),-0.50%,-29.80%,-30.00%,-51.20%,5.30%
Return on Capital (ROIC),10.00%,-61.40%,-40.50%,-71.40%,23.20%
Earnings Yield,-0.24%,-15.95%,-24.35%,-24.33%,0.35%
FCF Yield,-6.68%,0.19%,-7.89%,-11.06%,-2.69%
Buyback Yield / Dilution,-4.35%,-0.30%,-19.16%,-12.01%,-1.49%
Total Shareholder Return,-4.35%,-0.30%,-19.16%,-12.01%,-1.49%
