Year,Current,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"3,490","4,114","4,672","2,870","2,185","1,758",840,-,-
Market Cap Growth,-,-11.95%,62.82%,31.33%,24.31%,109.21%,-,-,-
Enterprise Value,"3,717","4,291","4,820","2,901","2,205","1,793",890,173,39
PE Ratio,24.99,28.18,47.67,47.18,65.09,101.37,1372.97,-,-
PS Ratio,6.95,11.18,13.68,10.47,8.66,7.20,4.67,-,-
PB Ratio,9.10,11.86,19.62,18.54,19.83,22.42,13.99,-,-
P/FCF Ratio,15.87,25.55,27.56,25.09,20.57,18.61,10.45,-,-
P/OCF Ratio,15.59,24.27,24.83,24.66,19.58,18.18,10.29,-,-
EV/Sales Ratio,7.19,11.66,14.11,10.59,8.74,7.35,4.95,0.96,0.25
EV/EBITDA Ratio,20.41,18.46,35.33,33.92,31.43,30.62,51.15,11.13,4.73
EV/EBIT Ratio,22.30,19.77,38.58,37.38,32.82,31.64,57.47,12.80,6.11
EV/FCF Ratio,16.42,26.65,28.44,25.36,20.75,18.98,11.07,1.60,0.53
Debt / Equity Ratio,0.71,0.73,1.00,0.55,0.64,1.07,1.40,-1.97,1.92
Debt / EBITDA Ratio,1.53,1.09,1.75,0.99,1.01,1.44,4.84,15.66,13.08
Debt / FCF Ratio,1.23,1.57,1.41,0.74,0.67,0.89,1.05,2.25,1.48
Asset Turnover,0.40,0.30,0.46,0.62,0.73,0.89,0.82,0.91,-
Return on Equity (ROE),24.50%,46.90%,48.20%,44.20%,33.70%,26.20%,-1.90%,0.00%,-
Return on Assets (ROA),7.10%,11.80%,13.10%,13.70%,9.70%,6.30%,0.30%,0.00%,-
Return on Capital (ROIC),11.40%,15.60%,15.60%,17.00%,18.90%,18.60%,4.70%,4.40%,-
Earnings Yield,2.56%,3.55%,2.10%,2.12%,1.54%,0.99%,0.07%,-,-
FCF Yield,6.30%,3.91%,3.63%,3.99%,4.86%,5.37%,9.57%,-,-
Dividend Yield,2.47%,1.81%,1.41%,1.99%,1.95%,1.88%,-,-,-
Payout Ratio,59.60%,34.80%,44.30%,50.70%,60.30%,74.50%,0.00%,-,-
Buyback Yield / Dilution,0.21%,-0.89%,-1.69%,-3.48%,-6.19%,-165.44%,60.48%,-,-
Total Shareholder Return,2.69%,0.92%,-0.28%,-1.49%,-4.24%,-163.56%,60.48%,-,-
