Year,Current,2021
Market Capitalization,302,286
Enterprise Value,302,285
PE Ratio,26.05,14.84
PB Ratio,-32.96,-25.60
P/FCF Ratio,-345.17,-376.50
P/OCF Ratio,-345.17,-376.50
EV/EBITDA Ratio,26.51,14.79
EV/EBIT Ratio,26.51,14.79
EV/FCF Ratio,-344.87,-375.23
Current Ratio,0.85,8.38
Return on Equity (ROE),-112.80%,-
Return on Assets (ROA),4.80%,-
Return on Capital (ROIC),4.80%,-
Earnings Yield,3.77%,6.74%
FCF Yield,-0.28%,-0.27%
Buyback Yield / Dilution,-124.14%,-
Total Shareholder Return,-124.14%,-
