Year,Current,2022,2021
Market Capitalization,671,634,630
Market Cap Growth,-,0.71%,-
Enterprise Value,667,631,627
PE Ratio,174.67,161.60,-596.10
PB Ratio,-45.96,-45.96,-47.78
P/FCF Ratio,-664.49,-664.49,-335.03
P/OCF Ratio,-664.49,-664.49,-335.03
EV/EBITDA Ratio,123.50,116.81,-594.31
EV/EBIT Ratio,123.50,116.81,-594.31
EV/FCF Ratio,-660.74,-660.74,-333.25
Current Ratio,2.70,2.70,13.46
Return on Equity (ROE),-28.90%,-28.90%,16.40%
Return on Assets (ROA),0.80%,0.80%,-0.40%
Return on Capital (ROIC),1.10%,1.10%,-0.40%
Earnings Yield,0.59%,0.62%,-0.17%
FCF Yield,-0.14%,-0.15%,-0.30%
Buyback Yield / Dilution,-54.98%,-54.98%,-
Total Shareholder Return,-54.98%,-54.98%,-
