Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"3,528","3,368","3,735","2,731","2,312","2,132","2,238","2,140","1,506","2,143","1,954",Upgrade
Market Cap Growth,-,-9.84%,36.76%,18.15%,8.46%,-4.74%,4.58%,42.07%,-29.73%,9.69%,38.58%,Upgrade
Enterprise Value,"16,080","16,647","20,172","21,094","21,618","23,158","22,659","25,716","28,646","29,104","26,961",Upgrade
PE Ratio,14.29,8.27,9.50,7.75,16.30,9.35,12.92,8.33,5.62,6.97,6.46,Upgrade
PS Ratio,2.67,2.23,2.79,2.04,2.22,2.03,2.91,2.42,1.69,2.32,2.18,Upgrade
PB Ratio,1.10,1.05,1.27,1.04,0.97,0.93,1.04,1.04,0.80,1.24,1.35,Upgrade
P/FCF Ratio,6.40,5.39,8.86,11.58,11.20,14.61,13.46,9.20,4.02,6.48,5.28,Upgrade
P/OCF Ratio,5.70,4.92,7.78,7.82,7.73,7.87,6.94,7.13,3.85,6.00,5.05,Upgrade
EV/Sales Ratio,12.11,11.01,15.09,15.78,20.76,22.01,29.43,29.11,32.19,31.57,30.14,Upgrade
EV/EBITDA Ratio,32.64,23.70,31.10,31.80,57.08,49.13,60.29,49.40,52.65,50.54,49.62,Upgrade
EV/EBIT Ratio,51.38,31.98,39.62,46.53,121.96,80.78,95.20,64.60,68.15,62.21,58.12,Upgrade
EV/FCF Ratio,29.06,26.65,47.87,89.46,104.73,158.76,136.29,110.56,76.47,87.94,72.83,Upgrade
Debt / Equity Ratio,4.16,4.58,5.97,7.34,8.60,9.64,9.94,12.00,14.95,16.26,17.99,Upgrade
Debt / EBITDA Ratio,27.28,20.84,27.18,29.13,54.21,47.14,56.84,47.53,51.79,48.73,47.80,Upgrade
Debt / FCF Ratio,24.28,23.43,41.84,81.94,99.45,152.32,128.49,106.40,75.23,84.78,70.17,Upgrade
Asset Turnover,0.07,0.08,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),7.80%,13.00%,13.80%,14.60%,6.00%,10.00%,8.20%,13.20%,14.70%,19.00%,22.60%,Upgrade
Return on Assets (ROA),1.30%,2.00%,1.80%,1.60%,0.60%,0.90%,0.70%,0.90%,0.90%,1.00%,1.10%,Upgrade
Return on Capital (ROIC),1.00%,1.50%,1.30%,1.10%,0.40%,0.60%,0.50%,0.80%,0.70%,0.80%,0.90%,Upgrade
Earnings Yield,6.98%,12.10%,10.53%,12.90%,6.13%,10.69%,7.74%,12.00%,17.79%,14.35%,15.49%,Upgrade
FCF Yield,15.63%,18.55%,11.28%,8.63%,8.93%,6.84%,7.43%,10.87%,24.87%,15.44%,18.94%,Upgrade
Dividend Yield,1.06%,1.09%,0.93%,1.17%,1.28%,1.27%,1.08%,1.00%,1.27%,0.87%,0.95%,Upgrade
Payout Ratio,15.10%,9.00%,8.80%,9.10%,20.90%,11.80%,14.00%,8.30%,7.10%,6.00%,6.20%,Upgrade
Buyback Yield / Dilution,1.83%,2.51%,1.25%,2.47%,2.11%,2.11%,2.06%,6.28%,2.02%,0.22%,1.69%,Upgrade
Total Shareholder Return,2.89%,3.61%,2.18%,3.64%,3.39%,3.38%,3.14%,7.28%,3.29%,1.08%,2.64%,Upgrade
