Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"24,355","26,473","29,593","27,158","25,964","19,732","19,897","16,721","8,753","7,936","7,966",Upgrade
Market Cap Growth,-,-10.54%,8.97%,4.60%,31.58%,-0.83%,18.99%,91.04%,10.30%,-0.38%,37.38%,Upgrade
Enterprise Value,"28,521","30,678","30,578","31,823","31,822","23,274","23,402","19,716","11,487","9,598","9,496",Upgrade
PE Ratio,23.11,26.24,7.01,27.27,24.87,28.39,35.03,39.81,23.47,21.92,21.82,Upgrade
PS Ratio,2.70,2.99,3.29,3.15,3.10,2.32,2.43,2.12,2.29,2.09,2.18,Upgrade
PB Ratio,2.40,2.64,2.23,2.51,2.53,2.00,1.97,1.66,3.93,4.00,3.60,Upgrade
P/FCF Ratio,34.27,43.54,15.91,18.25,33.46,20.43,40.86,26.54,89.32,21.80,17.55,Upgrade
P/OCF Ratio,26.16,32.60,14.36,15.31,24.02,15.32,23.08,17.92,35.87,16.64,14.20,Upgrade
EV/Sales Ratio,3.19,3.46,3.40,3.69,3.80,2.73,2.85,2.50,3.00,2.52,2.60,Upgrade
EV/EBITDA Ratio,13.17,14.62,5.29,13.23,13.53,13.03,15.72,15.44,17.59,11.97,12.46,Upgrade
EV/EBIT Ratio,18.96,21.74,6.15,21.37,21.57,22.40,35.67,38.81,23.83,14.63,15.49,Upgrade
EV/FCF Ratio,40.40,50.46,16.44,21.39,41.01,24.09,48.05,31.30,117.21,26.37,20.92,Upgrade
Debt / Equity Ratio,0.54,0.55,0.41,0.62,0.66,0.46,0.45,0.38,1.47,1.16,1.05,Upgrade
Debt / EBITDA Ratio,2.52,2.61,0.95,2.79,2.87,2.56,3.05,3.03,5.00,2.86,3.05,Upgrade
Debt / FCF Ratio,7.73,8.99,2.94,4.51,8.69,4.74,9.31,6.13,33.33,6.31,5.12,Upgrade
Current Ratio,1.07,1.07,1.26,1.05,1.06,1.07,1.08,1.03,0.98,1.06,1.10,Upgrade
Asset Turnover,0.28,0.28,0.24,0.23,0.24,0.25,0.25,0.25,0.22,0.24,0.24,Upgrade
Return on Equity (ROE),10.80%,9.80%,35.30%,9.50%,10.40%,6.80%,5.60%,3.90%,16.00%,15.90%,18.10%,Upgrade
Return on Assets (ROA),3.40%,3.20%,11.30%,2.60%,2.90%,2.10%,1.80%,1.30%,2.10%,2.30%,2.40%,Upgrade
Return on Capital (ROIC),17.20%,16.40%,53.90%,14.60%,14.90%,14.10%,10.00%,9.50%,11.80%,17.40%,16.40%,Upgrade
Earnings Yield,4.50%,3.81%,14.27%,3.67%,4.02%,3.52%,2.85%,2.51%,4.26%,4.56%,4.58%,Upgrade
FCF Yield,2.92%,2.30%,6.29%,5.48%,2.99%,4.90%,2.45%,3.77%,1.12%,4.59%,5.70%,Upgrade
Dividend Yield,1.44%,1.34%,1.27%,1.31%,1.29%,1.58%,1.41%,1.57%,2.55%,2.68%,2.50%,Upgrade
Payout Ratio,33.40%,36.40%,9.20%,35.80%,32.30%,45.40%,50.40%,62.50%,59.80%,58.90%,53.70%,Upgrade
Buyback Yield / Dilution,9.48%,13.14%,3.34%,-0.26%,1.05%,1.59%,3.44%,-101.01%,-1.76%,0.38%,-2.79%,Upgrade
Total Shareholder Return,10.94%,14.48%,4.61%,1.05%,2.34%,3.17%,4.85%,-99.44%,0.79%,3.06%,-0.30%,Upgrade
