Year,Current,2022,2021,2020,2019
Market Capitalization,177,252,176,-,-
Market Cap Growth,-,42.91%,-,-,-
Enterprise Value,126,201,-69,-42,-103
PE Ratio,6.72,9.31,9.50,-,-
PS Ratio,2.38,3.39,2.90,-,-
PB Ratio,0.97,1.39,1.00,-,-
P/FCF Ratio,4.88,6.95,7.00,-,-
P/OCF Ratio,4.56,6.49,5.94,-,-
EV/Sales Ratio,1.69,2.70,-1.14,-0.89,-2.87
EV/EBITDA Ratio,3.47,5.53,-2.61,-2.46,-10.96
EV/EBIT Ratio,3.62,5.77,-2.84,-2.84,-12.71
EV/FCF Ratio,3.47,5.54,-2.74,-8.02,-10.68
Debt / Equity Ratio,0.65,0.65,0.22,0.31,0.10
Debt / EBITDA Ratio,3.23,3.23,1.45,2.57,1.33
Debt / FCF Ratio,3.23,3.23,1.53,8.37,1.29
Asset Turnover,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),15.70%,15.70%,11.50%,9.10%,-
Return on Assets (ROA),1.40%,1.40%,1.20%,1.00%,-
Return on Capital (ROIC),1.90%,1.90%,1.70%,1.30%,-
Earnings Yield,15.29%,10.74%,10.53%,-,-
FCF Yield,20.48%,14.39%,14.28%,-,-
Dividend Yield,1.77%,1.24%,0.46%,-,-
Payout Ratio,11.70%,11.70%,4.00%,0.00%,0.00%
Buyback Yield / Dilution,3.39%,3.39%,-3.44%,-,-
Total Shareholder Return,5.17%,4.64%,-2.98%,-,-
