Year,Current,2022,2021,2020
Market Capitalization,89,91,371,323
Market Cap Growth,-,-75.49%,14.78%,-
Enterprise Value,89,91,371,323
PE Ratio,13.12,9.74,24.38,-45.44
PB Ratio,-4.90,-4.90,-13.34,-7.51
P/FCF Ratio,-242.40,-242.40,-514.71,-494.84
P/OCF Ratio,-242.40,-242.40,-514.71,-494.84
EV/EBITDA Ratio,9.51,9.70,24.38,-45.34
EV/EBIT Ratio,9.51,9.70,24.38,-45.34
EV/FCF Ratio,-242.40,-242.40,-514.65,-493.67
Current Ratio,0.00,0.00,0.58,9.99
Return on Equity (ROE),-49.30%,-49.30%,-124.70%,-
Return on Assets (ROA),8.90%,8.90%,5.10%,-
Return on Capital (ROIC),9.10%,9.10%,5.10%,-
Earnings Yield,10.47%,10.27%,4.10%,-2.20%
FCF Yield,-0.42%,-0.41%,-0.19%,-0.20%
Buyback Yield / Dilution,67.84%,67.84%,-194.03%,-
Total Shareholder Return,67.84%,67.84%,-194.03%,-
