Year,Current,2022,2021,2020
Market Capitalization,126,514,515,-
Market Cap Growth,-,-0.10%,-,-
Enterprise Value,127,515,515,-0
PE Ratio,101.40,54.80,7069.27,-
PB Ratio,-32.28,-32.28,-24.34,-
P/FCF Ratio,-513.92,-513.92,-14614.51,-
P/OCF Ratio,-513.92,-513.92,-14614.51,-
EV/EBITDA Ratio,12.05,49.02,7064.66,0.68
EV/EBIT Ratio,12.05,49.02,7064.66,0.68
EV/FCF Ratio,-514.21,-514.21,-14604.97,4.00
Debt / Equity Ratio,-0.03,-0.03,-,-1.14
Debt / EBITDA Ratio,0.05,0.05,-,-0.17
Debt / FCF Ratio,-0.47,-0.47,-,-1.00
Current Ratio,0.08,0.08,0.08,0.17
Return on Equity (ROE),-56.30%,-56.30%,-0.30%,-
Return on Assets (ROA),3.00%,3.00%,0.00%,-
Return on Capital (ROIC),3.40%,3.40%,0.00%,-
Earnings Yield,7.44%,1.83%,0.01%,-
FCF Yield,-0.79%,-0.19%,-0.01%,-
Buyback Yield / Dilution,-8.74%,-8.74%,-541.41%,-
Total Shareholder Return,-8.74%,-8.74%,-541.41%,-
