Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,748,943,"1,366",959,"1,944","2,175","3,053","2,992","2,579","2,582","2,990",Upgrade
Market Cap Growth,-,-30.97%,42.46%,-50.68%,-10.64%,-28.74%,2.01%,16.03%,-0.11%,-13.65%,15.29%,Upgrade
Enterprise Value,"1,165","1,360","1,668","1,048","2,077","2,383","3,330","3,323","2,686","2,635","3,033",Upgrade
PE Ratio,-330.66,-2345.13,9.48,-5.46,1936.28,46.23,28.46,19.81,22.20,13.14,10.05,Upgrade
PS Ratio,0.71,0.85,1.22,1.10,1.94,2.46,3.52,3.44,3.34,3.03,4.04,Upgrade
PB Ratio,0.68,0.85,0.96,0.71,1.29,1.43,1.91,1.66,1.32,1.20,1.25,Upgrade
P/FCF Ratio,-12.72,-27.57,19.48,11.30,14.03,12.98,18.74,17.81,25.38,27.73,91.28,Upgrade
P/OCF Ratio,-13.49,-31.59,18.46,10.38,13.12,12.27,17.61,16.72,23.21,26.89,77.46,Upgrade
EV/Sales Ratio,1.06,1.23,1.48,1.20,2.08,2.69,3.84,3.82,3.48,3.09,4.10,Upgrade
EV/EBITDA Ratio,24.37,26.04,8.19,-5.82,319.61,35.89,19.11,14.83,14.95,8.35,6.96,Upgrade
EV/EBIT Ratio,93.86,96.06,10.03,-5.20,-170.65,52.78,22.89,17.38,18.72,9.54,7.58,Upgrade
EV/FCF Ratio,-17.69,-39.77,23.78,12.35,14.98,14.21,20.44,19.77,26.43,28.30,92.58,Upgrade
Debt / Equity Ratio,0.39,0.40,0.31,0.23,0.20,0.19,0.26,0.25,0.18,0.12,0.10,Upgrade
Debt / EBITDA Ratio,9.34,8.56,2.19,-1.69,47.39,4.33,2.36,2.00,1.94,0.79,0.57,Upgrade
Debt / FCF Ratio,-5.69,-13.07,6.36,3.59,2.22,1.72,2.53,2.67,3.42,2.68,7.63,Upgrade
Asset Turnover,0.19,0.19,0.19,0.19,0.21,0.19,0.18,0.17,0.16,0.16,0.14,Upgrade
Return on Equity (ROE),-0.30%,0.00%,10.30%,-12.60%,0.10%,3.00%,6.00%,7.70%,5.70%,8.60%,12.60%,Upgrade
Return on Assets (ROA),-0.10%,0.00%,2.40%,-3.70%,0.00%,1.00%,2.20%,3.00%,2.30%,3.70%,5.80%,Upgrade
Return on Capital (ROIC),0.20%,0.20%,2.80%,-4.40%,-0.30%,1.00%,3.00%,3.90%,3.00%,5.50%,8.30%,Upgrade
Earnings Yield,-0.39%,-0.04%,10.55%,-18.33%,0.05%,2.16%,3.51%,5.05%,4.51%,7.61%,9.95%,Upgrade
FCF Yield,-10.12%,-3.63%,5.13%,8.85%,7.13%,7.71%,5.34%,5.62%,3.94%,3.61%,1.10%,Upgrade
Dividend Yield,1.45%,1.15%,0.79%,2.59%,3.43%,4.30%,10.41%,10.59%,4.78%,8.90%,2.70%,Upgrade
Payout Ratio,-400.00%,-2000.00%,7.50%,-14.10%,6200.00%,197.70%,295.00%,208.80%,105.70%,116.30%,27.00%,Upgrade
Buyback Yield / Dilution,0.05%,-0.15%,-0.28%,-0.12%,-0.17%,-0.26%,-0.30%,2.85%,7.57%,4.02%,-0.30%,Upgrade
Total Shareholder Return,1.44%,1.00%,0.51%,2.47%,3.26%,4.04%,10.11%,13.44%,12.35%,12.92%,2.39%,Upgrade
