Year,Current,2022,2021,2020,2019
Market Capitalization,37,51,47,-,-
Market Cap Growth,-,8.70%,-,-,-
Enterprise Value,87,102,37,9,7
PE Ratio,85.50,28.85,89.88,-,-
PS Ratio,3.28,4.24,4.62,-,-
PB Ratio,0.62,0.91,0.77,-,-
P/FCF Ratio,20.34,18.39,28.74,-,-
P/OCF Ratio,11.86,16.17,26.50,-,-
EV/Sales Ratio,8.29,8.55,3.69,0.93,0.74
EV/EBITDA Ratio,105.93,39.16,35.55,6.33,3.83
EV/EBIT Ratio,221.51,46.91,60.98,9.21,5.09
EV/FCF Ratio,51.41,37.11,23.00,7.86,3.24
Debt / Equity Ratio,1.12,1.12,0.46,0.96,1.00
Debt / EBITDA Ratio,75.46,23.96,26.31,22.43,18.19
Debt / FCF Ratio,36.62,22.71,17.02,27.84,15.38
Asset Turnover,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),0.60%,3.10%,1.10%,2.40%,-
Return on Assets (ROA),0.10%,0.50%,0.10%,0.30%,-
Return on Capital (ROIC),0.10%,0.50%,0.20%,0.30%,-
Earnings Yield,1.00%,3.47%,1.11%,-,-
FCF Yield,4.92%,5.44%,3.48%,-,-
Dividend Yield,0.19%,-,-,-,-
Buyback Yield / Dilution,-2.61%,-0.87%,7.85%,-,-
Total Shareholder Return,-2.41%,-0.87%,7.85%,-,-
