Year,Current,2022,2021,2020,2019,2018
Market Capitalization,104,112,103,149,187,-
Market Cap Growth,-,8.04%,-30.65%,-20.56%,-,-
Enterprise Value,135,139,107,143,170,-8
PE Ratio,-6.95,-5.45,-6.20,-5.95,-9.70,-
PS Ratio,0.65,0.68,0.59,1.01,1.39,-
PB Ratio,0.96,1.00,0.60,0.76,0.88,-
P/FCF Ratio,-16.18,-15.14,-130.05,28.08,-67.18,-
P/OCF Ratio,-16.18,-15.14,-130.05,28.08,-67.18,-
EV/Sales Ratio,0.82,0.85,0.61,0.97,1.26,-0.06
EV/EBITDA Ratio,-10.57,-7.53,-7.82,-5.84,-9.07,0.52
EV/EBIT Ratio,-8.19,-6.16,-6.29,-5.24,-8.43,0.47
EV/FCF Ratio,-20.99,-18.86,-135.06,26.99,-61.00,-1.81
Debt / Equity Ratio,0.34,0.33,0.15,0.16,0.10,0.08
Debt / EBITDA Ratio,-2.79,-2.01,-1.92,-1.24,-1.10,-0.91
Debt / FCF Ratio,-5.54,-5.05,-33.22,5.75,-7.38,3.18
Asset Turnover,0.22,0.21,0.23,0.20,0.20,0.19
Return on Equity (ROE),-13.90%,-15.80%,-9.30%,-12.70%,-10.00%,-7.50%
Return on Assets (ROA),-2.20%,-2.70%,-2.10%,-3.40%,-2.80%,-2.10%
Return on Capital (ROIC),-2.30%,-2.90%,-2.20%,-3.80%,-3.00%,-2.50%
Earnings Yield,-19.10%,-18.34%,-16.13%,-16.81%,-10.31%,-
FCF Yield,-6.88%,-6.61%,-0.77%,3.56%,-1.49%,-
Dividend Yield,-,-,-,49.60%,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,-480.80%,0.00%
Total Shareholder Return,-,-,-,49.60%,-,
