Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Market Capitalization,212,308,245,157,226,172,194,207,218,190,148,Upgrade
Market Cap Growth,-,25.91%,56.07%,-30.66%,31.83%,-11.46%,-6.18%,-5.05%,14.27%,28.42%,143.16%,Upgrade
Enterprise Value,377,672,607,536,496,394,359,199,149,131,89,Upgrade
PE Ratio,5.35,7.67,6.85,9.24,9.70,10.52,16.28,13.85,13.17,13.46,10.78,Upgrade
PS Ratio,1.56,2.34,2.06,1.80,2.48,2.14,2.73,2.81,3.01,3.46,2.88,Upgrade
PB Ratio,0.79,1.18,1.05,0.76,1.17,0.95,1.15,1.28,1.44,1.38,1.36,Upgrade
P/FCF Ratio,4.98,8.70,6.87,5.95,7.86,7.06,9.15,8.07,9.70,21.92,9.62,Upgrade
P/OCF Ratio,4.55,7.97,6.80,5.89,7.80,6.79,8.65,7.89,9.37,16.03,9.32,Upgrade
EV/Sales Ratio,2.78,5.11,5.12,6.14,5.44,4.92,5.05,2.70,2.06,2.39,1.73,Upgrade
EV/EBITDA Ratio,6.61,11.94,11.99,24.60,18.01,20.59,22.74,10.69,5.99,5.69,3.80,Upgrade
EV/EBIT Ratio,7.09,12.87,12.90,29.26,20.25,22.32,25.24,11.64,5.97,6.19,4.22,Upgrade
EV/FCF Ratio,8.88,18.98,17.02,20.31,17.25,16.21,16.97,7.77,6.63,15.13,5.79,Upgrade
Debt / Equity Ratio,1.32,1.79,1.80,2.11,1.74,1.71,1.29,0.43,0.30,0.32,0.20,Upgrade
Debt / EBITDA Ratio,6.16,8.29,8.28,20.01,12.23,16.15,13.80,3.75,1.80,1.92,0.95,Upgrade
Debt / FCF Ratio,8.28,13.18,11.75,16.52,11.72,12.71,10.30,2.72,1.99,5.10,1.44,Upgrade
Asset Turnover,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),15.60%,15.90%,16.00%,8.50%,12.30%,9.30%,7.20%,9.40%,11.30%,11.70%,13.10%,Upgrade
Return on Assets (ROA),1.40%,1.40%,1.30%,0.70%,1.10%,0.90%,0.70%,0.80%,1.00%,1.00%,1.10%,Upgrade
Return on Capital (ROIC),1.60%,1.60%,1.60%,0.60%,1.10%,0.80%,0.80%,1.00%,1.50%,1.60%,1.80%,Upgrade
Earnings Yield,19.03%,13.04%,14.61%,10.83%,10.31%,9.50%,6.14%,7.22%,7.59%,7.43%,9.27%,Upgrade
FCF Yield,20.09%,11.49%,14.56%,16.82%,12.72%,14.17%,10.92%,12.39%,10.31%,4.56%,10.39%,Upgrade
Dividend Yield,3.33%,2.16%,2.47%,3.59%,2.28%,2.87%,2.35%,2.02%,1.76%,1.75%,1.49%,Upgrade
Payout Ratio,17.20%,16.60%,17.30%,33.50%,22.40%,30.10%,38.20%,28.10%,23.20%,23.90%,16.00%,Upgrade
Buyback Yield / Dilution,1.30%,-0.49%,1.50%,0.83%,2.32%,-0.38%,-0.61%,-0.11%,-9.45%,-0.87%,-48.30%,Upgrade
Total Shareholder Return,4.63%,1.67%,3.97%,4.41%,4.60%,2.49%,1.74%,1.91%,-7.69%,0.89%,-46.81%,Upgrade
