Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,56,61,62,39,141,115,116,205,190,232,258,Upgrade
Market Cap Growth,-,-2.74%,59.54%,-72.33%,22.87%,-0.94%,-43.39%,7.62%,-17.86%,-10.20%,-,Upgrade
Enterprise Value,167,171,146,203,351,373,384,490,515,472,359,Upgrade
PE Ratio,-4.77,-5.04,-32.50,-1.10,-5.11,-7.17,-16.61,22.39,13.75,-67.40,8.95,Upgrade
PS Ratio,3.37,4.06,3.72,1.48,3.21,2.43,2.27,3.00,2.98,4.68,7.29,Upgrade
PB Ratio,0.60,0.64,0.58,0.36,0.95,0.60,0.52,0.82,0.71,0.96,0.96,Upgrade
P/FCF Ratio,-30.97,-2.37,0.76,0.74,2.19,4.19,2.65,2.97,-1.98,-1.94,-6.65,Upgrade
P/OCF Ratio,-30.97,-2.37,0.76,0.74,2.19,4.19,2.65,2.97,-1.98,-1.94,-6.65,Upgrade
EV/Sales Ratio,9.92,11.45,8.72,7.66,7.98,7.88,7.51,7.17,8.05,9.54,10.13,Upgrade
EV/EBITDA Ratio,-40.48,-40.60,16.89,-9.98,-35.51,-565.26,29.24,16.98,15.67,47.55,9.63,Upgrade
EV/EBIT Ratio,-40.48,-40.60,16.89,-9.98,-35.51,-565.26,29.24,16.98,15.67,47.55,9.63,Upgrade
EV/FCF Ratio,-91.58,-6.67,1.78,3.81,5.44,13.58,8.76,7.09,-5.35,-3.96,-9.24,Upgrade
Debt / Equity Ratio,1.28,1.23,1.15,1.96,1.84,1.56,1.35,1.28,1.34,1.23,0.75,Upgrade
Debt / EBITDA Ratio,-29.06,-27.82,14.20,-10.52,-27.54,-450.49,22.78,11.14,10.92,29.76,5.43,Upgrade
Debt / FCF Ratio,-65.74,-4.57,1.49,4.02,4.22,10.83,6.83,4.65,-3.72,-2.48,-5.21,Upgrade
Asset Turnover,0.08,0.07,0.06,0.07,0.10,0.09,0.09,0.11,0.10,0.09,0.09,Upgrade
Return on Equity (ROE),-12.20%,-12.00%,-1.70%,-33.40%,-17.30%,-7.70%,-3.00%,3.60%,5.10%,-1.30%,14.00%,Upgrade
Return on Assets (ROA),-5.50%,-5.50%,-0.70%,-10.00%,-6.20%,-3.10%,-1.30%,1.50%,2.30%,-0.60%,7.20%,Upgrade
Return on Capital (ROIC),-1.30%,-1.30%,2.30%,-3.80%,-1.50%,-0.10%,1.60%,3.20%,3.60%,1.40%,7.10%,Upgrade
Earnings Yield,-20.84%,-19.84%,-3.08%,-90.74%,-19.58%,-13.94%,-6.02%,4.47%,7.27%,-1.48%,11.18%,Upgrade
FCF Yield,-3.21%,-42.24%,131.95%,135.96%,45.74%,23.86%,37.76%,33.73%,-50.61%,-51.48%,-15.04%,Upgrade
Dividend Yield,0.87%,-,-,10.39%,11.41%,13.91%,19.46%,13.90%,18.62%,10.52%,2.36%,Upgrade
Payout Ratio,-4.10%,0.00%,0.00%,-11.50%,-58.30%,-99.80%,-322.70%,310.40%,256.20%,-696.50%,21.20%,Upgrade
Buyback Yield / Dilution,0.00%,-,-0.07%,-0.85%,-0.78%,-0.57%,-0.53%,-4.00%,-17.24%,-,-,Upgrade
Total Shareholder Return,0.86%,-,-0.07%,9.54%,10.63%,13.34%,18.93%,9.89%,1.39%,10.52%,2.36%,Upgrade
