Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,131,166,157,127,160,148,152,121,100,75,55,Upgrade
Market Cap Growth,-,5.25%,23.71%,-20.63%,8.20%,-2.19%,25.27%,21.32%,32.39%,36.77%,25.67%,Upgrade
Enterprise Value,223,287,161,121,164,159,169,158,138,114,118,Upgrade
PE Ratio,9.01,11.34,10.18,12.61,14.62,13.20,26.06,18.11,16.28,14.71,13.31,Upgrade
PS Ratio,2.16,2.78,2.68,2.54,3.31,3.22,3.94,3.49,3.02,2.42,2.14,Upgrade
PB Ratio,1.06,1.40,1.12,0.93,1.34,1.32,1.43,1.48,1.26,1.01,1.05,Upgrade
P/FCF Ratio,4.81,7.55,2.69,-7.02,68.75,7.54,9.92,31.04,8.43,8.57,4.25,Upgrade
P/OCF Ratio,4.71,7.49,2.72,-7.47,33.24,7.42,8.26,23.56,6.87,6.27,3.39,Upgrade
EV/Sales Ratio,3.70,4.81,2.73,2.42,3.39,3.46,4.40,4.55,4.16,3.68,4.60,Upgrade
EV/EBITDA Ratio,10.97,14.18,7.45,8.31,10.31,9.95,15.50,15.00,13.70,13.46,18.76,Upgrade
EV/EBIT Ratio,12.04,15.58,8.17,9.63,11.89,11.43,18.53,17.80,16.37,16.11,22.37,Upgrade
EV/FCF Ratio,8.23,13.08,2.74,-6.69,70.49,8.10,11.09,40.41,11.62,13.02,9.13,Upgrade
Debt / Equity Ratio,1.46,1.34,0.51,0.43,0.43,0.38,0.46,0.71,0.77,0.83,1.47,Upgrade
Debt / EBITDA Ratio,8.86,7.84,3.35,4.04,3.24,2.70,4.43,5.57,6.05,7.25,12.27,Upgrade
Debt / FCF Ratio,6.65,7.23,1.23,-3.25,22.18,2.20,3.17,15.01,5.14,7.01,5.97,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),12.30%,12.30%,11.20%,7.70%,9.30%,10.40%,6.50%,8.10%,7.90%,7.10%,7.80%,Upgrade
Return on Assets (ROA),0.90%,0.90%,1.00%,0.80%,1.00%,1.00%,0.60%,0.70%,0.70%,0.60%,0.70%,Upgrade
Return on Capital (ROIC),1.10%,1.10%,1.30%,1.00%,1.20%,1.30%,1.00%,1.00%,1.00%,0.90%,0.80%,Upgrade
Earnings Yield,11.18%,8.82%,9.82%,7.93%,6.84%,7.57%,3.84%,5.52%,6.14%,6.80%,7.51%,Upgrade
FCF Yield,20.79%,13.24%,37.18%,-14.24%,1.45%,13.26%,10.08%,3.22%,11.87%,11.67%,23.53%,Upgrade
Dividend Yield,3.14%,2.38%,2.30%,2.83%,2.04%,2.06%,1.59%,1.77%,1.88%,2.12%,2.12%,Upgrade
Payout Ratio,27.30%,26.80%,23.30%,35.30%,30.10%,27.00%,42.40%,31.70%,30.10%,30.80%,28.20%,Upgrade
Buyback Yield / Dilution,-0.40%,-0.37%,-0.69%,-0.95%,2.72%,-13.77%,-0.05%,-0.28%,-0.36%,-25.76%,-1.38%,Upgrade
Total Shareholder Return,2.74%,2.00%,1.61%,1.88%,4.75%,-11.71%,1.55%,1.49%,1.51%,-23.64%,0.74%,Upgrade
