Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"6,454","6,863","7,596","9,662","13,175","9,161","9,537","8,820","6,432",-
Market Cap Growth,-,-9.65%,-21.38%,-26.67%,43.81%,-3.93%,8.12%,37.12%,-,-
Enterprise Value,"8,643","9,052","9,508","12,999","17,221","15,386","15,754","15,152","13,293","7,061"
PE Ratio,3.99,4.91,7.57,119.83,13.88,11.19,10.88,9.27,8.11,-
PS Ratio,1.52,1.61,2.04,3.98,3.40,2.68,2.54,2.43,2.24,-
PB Ratio,0.80,0.85,0.96,1.25,1.61,1.20,1.23,1.25,1.06,-
P/FCF Ratio,9.08,9.65,6.93,3.32,3.94,87.44,11.97,8.65,17.25,-
P/OCF Ratio,4.77,5.07,5.07,2.95,3.51,28.52,9.67,7.38,11.00,-
EV/Sales Ratio,2.03,2.13,2.56,5.36,4.44,4.50,4.19,4.17,4.62,2.04
EV/EBITDA Ratio,4.00,4.19,5.76,44.24,11.18,12.63,10.96,10.09,11.57,4.72
EV/EBIT Ratio,4.40,4.61,6.60,165.17,12.91,14.32,12.19,11.29,13.33,5.38
EV/FCF Ratio,12.16,12.73,8.67,4.46,5.15,146.85,19.77,14.86,35.64,-2.41
Debt / Equity Ratio,1.08,1.08,1.03,1.32,1.38,1.57,1.59,1.86,2.09,1.79
Debt / EBITDA Ratio,4.03,4.03,4.93,34.92,7.32,9.84,8.56,8.74,11.07,8.50
Debt / FCF Ratio,12.26,12.26,7.42,3.52,3.37,114.47,15.45,12.87,34.09,-4.35
Asset Turnover,0.06,0.06,0.06,0.03,0.06,0.05,0.06,0.06,0.05,0.06
Return on Equity (ROE),19.00%,19.00%,13.90%,1.00%,12.10%,11.10%,11.80%,14.10%,13.90%,16.40%
Return on Assets (ROA),2.10%,2.10%,1.50%,0.10%,1.40%,1.30%,1.30%,1.50%,1.50%,1.70%
Return on Capital (ROIC),3.00%,3.00%,2.10%,0.10%,1.80%,1.60%,1.80%,1.90%,1.70%,2.10%
Earnings Yield,21.67%,20.38%,13.22%,0.83%,7.20%,8.94%,9.20%,10.79%,12.33%,-
FCF Yield,11.01%,10.36%,14.43%,30.14%,25.41%,1.14%,8.36%,11.56%,5.80%,-
Dividend Yield,42.70%,42.70%,3.49%,16.89%,9.63%,14.41%,12.83%,12.82%,17.54%,-
Payout Ratio,51.90%,51.90%,6.50%,418.50%,32.80%,39.50%,34.10%,29.10%,34.80%,34.60%
Total Shareholder Return,42.70%,42.70%,3.49%,16.89%,9.63%,14.41%,12.83%,12.82%,17.54%,-
