Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Market Capitalization,"2,682","3,144","4,464","3,550","2,965","1,605","2,190","1,542","1,385","1,885","1,773",Upgrade
Market Cap Growth,-,-29.56%,25.74%,19.73%,84.76%,-26.72%,42.05%,11.33%,-26.52%,6.32%,32.95%,Upgrade
Enterprise Value,"2,653","3,036","4,304","3,544","2,907","1,567","1,997","1,359","1,242","1,760","1,644",Upgrade
PE Ratio,16.29,18.38,21.12,46.36,22.03,14.09,23.82,16.59,21.46,24.96,26.02,Upgrade
PS Ratio,4.95,5.55,7.65,8.31,7.22,4.21,5.78,4.39,4.21,6.00,5.95,Upgrade
PB Ratio,7.91,9.32,17.49,20.38,13.88,7.21,7.95,5.80,5.98,8.27,7.93,Upgrade
P/FCF Ratio,18.38,54.73,18.59,40.96,21.38,23.22,35.90,14.72,15.85,38.73,25.45,Upgrade
P/OCF Ratio,17.40,50.98,18.38,39.81,20.96,22.11,34.09,13.41,15.42,34.53,23.36,Upgrade
EV/Sales Ratio,4.92,5.36,7.37,8.29,7.08,4.11,5.27,3.87,3.78,5.61,5.52,Upgrade
EV/EBITDA Ratio,11.47,12.87,15.20,31.91,15.28,9.67,11.63,9.19,10.42,13.72,13.95,Upgrade
EV/EBIT Ratio,12.47,13.90,16.11,37.38,16.60,10.57,12.49,9.47,11.00,14.45,15.06,Upgrade
EV/FCF Ratio,18.29,52.84,17.92,40.89,20.96,22.66,32.73,12.97,14.22,36.16,23.61,Upgrade
Debt / Equity Ratio,0.41,0.41,0.10,0.20,0.20,0.24,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.60,0.59,0.09,0.31,0.23,0.34,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.95,2.42,0.10,0.40,0.31,0.79,-,-,-,-,-,Upgrade
Asset Turnover,0.91,0.97,1.38,1.18,0.98,0.83,0.98,1.13,1.16,1.07,0.93,Upgrade
Return on Equity (ROE),51.40%,57.10%,90.50%,37.40%,54.70%,40.20%,32.00%,36.10%,27.30%,31.10%,29.20%,Upgrade
Return on Assets (ROA),27.60%,29.20%,49.80%,21.20%,32.20%,24.60%,23.70%,30.00%,22.80%,25.70%,21.30%,Upgrade
Return on Capital (ROIC),44.10%,47.50%,88.20%,30.30%,50.20%,49.30%,85.90%,104.00%,83.60%,82.80%,58.70%,Upgrade
Earnings Yield,6.17%,5.44%,4.74%,2.16%,4.54%,7.10%,4.20%,6.03%,4.66%,4.01%,3.84%,Upgrade
FCF Yield,5.44%,1.83%,5.38%,2.44%,4.68%,4.31%,2.79%,6.80%,6.31%,2.58%,3.93%,Upgrade
Dividend Yield,4.11%,3.45%,3.35%,3.51%,5.60%,11.28%,4.55%,4.64%,5.49%,2.13%,4.58%,Upgrade
Payout Ratio,66.10%,62.70%,69.60%,160.00%,120.70%,157.20%,107.10%,76.20%,116.60%,52.10%,116.90%,Upgrade
Buyback Yield / Dilution,-0.13%,-0.42%,-0.85%,-0.78%,-1.93%,-0.86%,-1.18%,-1.17%,-0.56%,-1.24%,-1.35%,Upgrade
Total Shareholder Return,4.00%,3.03%,2.50%,2.72%,3.67%,10.42%,3.37%,3.47%,4.93%,0.89%,3.23%,Upgrade
