Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,43,55,73,53,67,57,65,66,44,35,31,Upgrade
Market Cap Growth,-,-24.78%,39.35%,-21.23%,17.30%,-12.93%,-1.58%,52.36%,25.79%,11.29%,63.47%,Upgrade
Enterprise Value,-2,14,-89,-38,33,12,33,38,25,47,31,Upgrade
PE Ratio,4.93,6.15,9.66,10.56,11.91,10.74,22.37,20.21,11.81,10.15,10.18,Upgrade
PS Ratio,0.97,1.26,1.89,1.57,2.14,2.06,2.68,2.96,2.03,1.74,1.65,Upgrade
PB Ratio,0.82,1.10,1.06,0.79,1.09,1.03,1.26,1.34,0.91,1.00,1.05,Upgrade
P/FCF Ratio,2.69,6.76,5.45,15.25,55.92,9.08,13.74,61.61,24.09,8.09,7.82,Upgrade
P/OCF Ratio,2.49,5.92,4.48,10.12,11.94,6.64,9.73,23.85,13.03,6.16,6.50,Upgrade
EV/Sales Ratio,0.09,0.32,-2.29,-1.14,1.05,0.42,1.37,1.68,1.16,2.36,1.62,Upgrade
EV/EBITDA Ratio,0.28,1.01,-7.72,-4.66,3.80,1.53,5.40,6.76,4.08,8.63,6.34,Upgrade
EV/EBIT Ratio,0.35,1.25,-9.40,-6.19,4.71,1.75,6.22,7.84,4.67,10.02,7.46,Upgrade
EV/FCF Ratio,0.24,1.70,-6.61,-11.10,27.35,1.85,7.01,35.01,13.78,11.00,7.67,Upgrade
Debt / Equity Ratio,0.39,0.41,0.30,0.15,0.08,0.09,0.10,-,0.21,0.72,0.54,Upgrade
Debt / EBITDA Ratio,1.48,1.49,1.83,1.22,0.58,0.66,0.81,-,1.64,4.62,3.34,Upgrade
Debt / FCF Ratio,1.29,2.51,1.56,2.91,4.19,0.80,1.05,-,5.52,5.88,4.04,Upgrade
Asset Turnover,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),17.30%,16.90%,11.20%,7.70%,9.40%,10.00%,5.70%,6.60%,9.40%,10.30%,10.40%,Upgrade
Return on Assets (ROA),0.90%,0.90%,0.80%,0.60%,0.80%,0.80%,0.50%,0.60%,0.70%,0.80%,0.70%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,1.20%,0.80%,1.00%,1.10%,0.90%,0.90%,1.10%,1.00%,1.00%,Upgrade
Earnings Yield,20.65%,16.25%,10.35%,9.47%,8.39%,9.31%,4.47%,4.95%,8.47%,9.85%,9.83%,Upgrade
FCF Yield,37.13%,14.79%,18.34%,6.56%,1.79%,11.02%,7.28%,1.62%,4.15%,12.36%,12.80%,Upgrade
Dividend Yield,3.22%,2.47%,1.73%,2.32%,1.84%,1.84%,1.61%,1.58%,1.74%,1.45%,-,Upgrade
Payout Ratio,15.90%,15.20%,16.70%,24.50%,21.90%,19.80%,35.80%,32.00%,20.60%,14.80%,0.00%,Upgrade
Buyback Yield / Dilution,2.57%,1.05%,0.58%,0.91%,-0.07%,0.00%,-0.00%,-26.86%,-2.56%,-0.31%,-0.34%,Upgrade
Total Shareholder Return,5.79%,3.52%,2.31%,3.23%,1.77%,1.85%,1.60%,-25.28%,-0.81%,1.14%,-0.34%,Upgrade
