Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"5,669","5,716","6,655","5,956","1,151",-,-,-
Market Cap Growth,-,-14.12%,11.74%,417.28%,-,-,-,-
Enterprise Value,"-4,525","-4,567","-3,482",-688,-549,"-1,330",-769,-430
PE Ratio,16.30,15.27,18.47,34.83,62.74,-,-,-
PS Ratio,5.91,5.87,7.30,13.94,8.46,-,-,-
PB Ratio,2.16,2.14,2.47,5.56,3.52,-,-,-
P/FCF Ratio,13.31,13.21,8.74,2.26,4.85,-,-,-
P/OCF Ratio,12.96,12.86,8.63,2.26,4.56,-,-,-
EV/Sales Ratio,-4.69,-4.69,-3.82,-1.61,-4.03,-12.83,-19.28,-38.28
EV/EBITDA Ratio,-10.23,-10.23,-8.22,-3.48,-17.54,-49.78,-782.68,30.79
EV/EBIT Ratio,-10.69,-10.69,-8.53,-3.67,-24.05,-51.85,-1778.98,29.81
EV/FCF Ratio,-10.55,-10.55,-4.57,-0.26,-2.31,-2.34,-3.25,-2.39
Debt / Equity Ratio,0.13,0.13,0.53,1.34,0.64,-10.49,-6.62,-1.02
Debt / EBITDA Ratio,0.77,0.77,3.35,7.29,6.73,7.54,200.89,-1.79
Debt / FCF Ratio,0.80,0.80,1.87,0.55,0.89,0.35,0.83,0.14
Current Ratio,1.27,1.27,1.25,1.13,-,-,-,-
Asset Turnover,0.08,0.08,0.06,0.06,0.06,0.06,0.04,-
Return on Equity (ROE),14.50%,14.50%,15.40%,27.00%,5.80%,-19.30%,26.40%,-
Return on Assets (ROA),2.90%,2.90%,2.50%,2.40%,0.80%,0.30%,-0.70%,-
Return on Capital (ROIC),-8.90%,-8.90%,6.50%,8.40%,2.60%,3.80%,0.10%,-
Earnings Yield,6.50%,6.55%,5.41%,2.87%,1.59%,-,-,-
FCF Yield,7.52%,7.57%,11.45%,44.22%,20.61%,-,-,-
Buyback Yield / Dilution,5.63%,5.63%,-16.14%,-14.41%,-79.44%,-26.70%,-,-
Total Shareholder Return,5.63%,5.63%,-16.14%,-14.41%,-79.44%,-26.70%,-,-
