Year,Current,2022,2021,2020,2019
Market Capitalization,20,22,62,61,-
Market Cap Growth,-,-64.33%,1.90%,-,-
Enterprise Value,17,19,16,15,0
PE Ratio,-22.98,-22.98,-104.04,-192.52,-
PB Ratio,-5.67,-5.67,-34.02,395.14,-
P/FCF Ratio,-19.63,-19.63,-144.65,-446.25,-
P/OCF Ratio,-19.63,-19.63,-144.65,-446.25,-
EV/EBITDA Ratio,-19.43,-19.43,-27.18,-46.26,-
EV/EBIT Ratio,-19.43,-19.43,-27.18,-46.26,-
EV/FCF Ratio,-16.60,-16.60,-37.79,-107.23,-7.62
Debt / Equity Ratio,-0.68,-0.68,-0.89,1.58,41.94
Debt / EBITDA Ratio,-2.77,-2.77,-2.71,-0.77,-
Debt / FCF Ratio,-2.37,-2.37,-3.77,-1.78,-8.99
Current Ratio,1.54,1.54,24.64,142.46,-
Return on Equity (ROE),32.80%,32.80%,150.20%,-12.50%,-
Return on Assets (ROA),-3.20%,-3.20%,-1.30%,-0.90%,-
Return on Capital (ROIC),-4.90%,-4.90%,-1.30%,-0.90%,-
Earnings Yield,-4.82%,-4.35%,-0.96%,-0.52%,-
FCF Yield,-5.64%,-5.09%,-0.69%,-0.22%,-
Buyback Yield / Dilution,24.13%,24.13%,-65.28%,-557.01%,-
Total Shareholder Return,24.13%,24.13%,-65.28%,-557.01%,-
