Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,805,925,"2,415",966,"1,112","1,121","1,713","2,070","4,175","9,136",-
Market Cap Growth,-,-61.71%,149.93%,-13.12%,-0.78%,-34.58%,-17.23%,-50.42%,-54.30%,-,-
Enterprise Value,-799,-69,"2,262","1,232","2,447","3,098","4,368","5,698","8,043","11,033","1,778"
PE Ratio,2.95,3.19,129.97,-5.15,-36.18,-8.74,-11.14,-14.18,-835.91,-277.74,-
PS Ratio,0.69,0.78,2.95,3.04,1.47,1.61,2.98,4.13,9.71,43.27,-
PB Ratio,0.67,0.79,2.84,1.33,1.24,1.29,1.86,2.12,4.01,9.39,-
P/FCF Ratio,2.06,3.02,11.75,2.50,-3.46,-1.62,-2.77,-40.35,118.10,311.30,-
P/OCF Ratio,1.76,2.46,10.07,2.31,-4.11,-1.75,-2.99,3798.20,55.86,183.02,-
EV/Sales Ratio,-0.72,-0.06,2.76,3.87,3.23,4.46,7.60,11.38,18.71,52.26,18.15
EV/EBITDA Ratio,-4.84,-0.35,36.05,-9.23,78.42,-42.15,-40.83,-47.35,414.23,-519.31,198.25
EV/EBIT Ratio,-6.59,-0.45,122.62,-6.57,-79.07,-24.15,-28.51,-37.93,-3720.03,-350.22,243.36
EV/FCF Ratio,-2.14,-0.23,11.01,3.19,-7.62,-4.47,-7.07,-111.07,227.49,375.94,-191.32
Debt / Equity Ratio,0.08,0.11,0.72,1.24,2.02,3.02,3.58,4.43,4.39,2.89,27.02
Debt / EBITDA Ratio,0.54,0.66,9.73,-6.70,58.38,-35.66,-30.83,-35.91,235.45,-132.43,205.10
Debt / FCF Ratio,0.24,0.43,2.97,2.31,-5.67,-3.78,-5.34,-84.23,129.31,95.87,-197.93
Asset Turnover,0.15,0.18,0.18,0.14,0.24,0.18,0.12,0.09,0.09,0.07,0.07
Return on Equity (ROE),23.10%,27.30%,2.40%,-25.00%,-3.50%,-14.60%,-15.90%,-14.60%,-0.50%,-6.30%,12.10%
Return on Assets (ROA),3.50%,4.40%,0.40%,-8.30%,-1.00%,-3.30%,-3.10%,-2.60%,-0.10%,-1.10%,0.50%
Return on Capital (ROIC),2.00%,2.70%,0.40%,-6.10%,-0.70%,-2.20%,-1.90%,-1.60%,0.00%,-0.70%,0.30%
Earnings Yield,33.10%,31.32%,0.77%,-19.41%,-2.76%,-11.45%,-8.98%,-7.05%,-0.12%,-0.36%,-
FCF Yield,48.55%,33.10%,8.51%,40.04%,-28.89%,-61.80%,-36.07%,-2.48%,0.85%,0.32%,-
Buyback Yield / Dilution,-1.78%,-1.81%,-31.07%,10.71%,-3.19%,-3.40%,-5.48%,-3.44%,-396.03%,7.19%,-131.82%
Total Shareholder Return,-1.78%,-1.81%,-31.07%,10.71%,-3.19%,-3.40%,-5.48%,-3.44%,-396.03%,7.19%,-131.82%
