Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,105,118,143,108,115,101,118,108,92,71,60,Upgrade
Market Cap Growth,-,-17.69%,32.49%,-5.98%,13.52%,-14.00%,9.04%,17.34%,30.53%,16.86%,3.94%,Upgrade
Enterprise Value,161,154,-24,46,144,139,168,161,149,134,99,Upgrade
PE Ratio,10.44,11.95,7.96,5.55,10.80,9.73,26.99,12.07,8.77,8.77,12.98,Upgrade
PS Ratio,1.94,2.25,2.39,1.79,2.57,2.42,2.88,2.68,2.11,1.80,2.09,Upgrade
PB Ratio,0.89,1.06,1.06,0.85,1.06,1.10,1.35,1.27,1.14,0.99,0.96,Upgrade
P/FCF Ratio,4.21,4.67,4.71,7.30,13.82,4.98,47.87,5.62,14.43,9.35,4.49,Upgrade
P/OCF Ratio,4.10,4.76,4.60,7.31,12.64,4.77,38.59,5.69,13.09,8.14,4.99,Upgrade
EV/Sales Ratio,2.97,2.93,-0.40,0.76,3.21,3.32,4.10,3.99,3.42,3.43,3.44,Upgrade
EV/EBITDA Ratio,11.41,11.09,-0.95,1.71,10.02,10.15,29.15,11.65,8.81,9.96,13.98,Upgrade
EV/EBIT Ratio,14.00,13.62,-1.06,1.89,11.85,12.01,48.37,14.28,10.35,12.13,18.41,Upgrade
EV/FCF Ratio,6.45,6.09,-0.79,3.10,17.25,6.84,68.18,8.37,23.38,17.80,7.40,Upgrade
Debt / Equity Ratio,0.75,0.61,0.21,0.22,0.39,0.62,0.76,0.86,0.88,1.07,1.10,Upgrade
Debt / EBITDA Ratio,6.26,4.91,1.14,1.04,2.94,4.15,11.56,5.27,4.17,5.67,9.67,Upgrade
Debt / FCF Ratio,3.54,2.70,0.95,1.89,5.07,2.80,27.04,3.79,11.07,10.14,5.11,Upgrade
Asset Turnover,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),8.90%,8.60%,13.60%,16.30%,10.30%,11.90%,5.00%,10.30%,13.60%,11.70%,7.40%,Upgrade
Return on Assets (ROA),0.70%,0.70%,1.40%,1.80%,1.10%,1.10%,0.50%,1.00%,1.20%,1.00%,0.70%,Upgrade
Return on Capital (ROIC),0.80%,0.80%,2.00%,2.20%,1.20%,1.10%,0.40%,1.20%,1.60%,1.30%,0.80%,Upgrade
Earnings Yield,9.62%,8.37%,12.56%,18.01%,9.26%,10.28%,3.71%,8.29%,11.40%,11.40%,7.70%,Upgrade
FCF Yield,23.74%,21.42%,21.23%,13.69%,7.23%,20.07%,2.09%,17.79%,6.93%,10.70%,22.25%,Upgrade
Dividend Yield,4.07%,3.54%,2.66%,3.33%,3.04%,3.29%,2.63%,2.72%,2.75%,3.42%,3.70%,Upgrade
Payout Ratio,42.00%,42.30%,21.20%,18.60%,32.70%,31.90%,71.20%,32.50%,24.20%,30.00%,47.90%,Upgrade
Buyback Yield / Dilution,0.64%,0.62%,-0.49%,1.84%,-0.13%,-2.34%,-0.41%,-4.73%,-0.23%,-2.99%,-0.45%,Upgrade
Total Shareholder Return,4.71%,4.16%,2.16%,5.17%,2.91%,0.94%,2.22%,-2.01%,2.52%,0.43%,3.24%,Upgrade
