Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,98,224,464,282,231,208,321,177,129,74,64,Upgrade
Market Cap Growth,-,-51.60%,64.57%,21.95%,10.99%,-35.14%,81.23%,37.71%,73.00%,15.44%,63.35%,Upgrade
Enterprise Value,510,687,640,456,488,578,720,364,307,156,45,Upgrade
PE Ratio,4.72,6.31,9.63,9.56,9.15,9.50,21.08,14.66,14.40,17.19,14.02,Upgrade
PS Ratio,0.97,1.98,3.92,3.08,3.13,3.10,5.38,3.58,3.30,2.55,2.42,Upgrade
PB Ratio,0.27,0.62,1.22,0.85,0.76,0.72,1.43,1.15,1.23,0.77,0.71,Upgrade
P/FCF Ratio,2.08,3.44,14.02,-22.55,-4.84,7.67,13.89,7.60,15.37,69.78,1.87,Upgrade
P/OCF Ratio,1.69,2.71,8.45,21.55,-5.30,7.09,13.03,6.69,11.79,37.53,1.55,Upgrade
EV/Sales Ratio,5.25,6.06,5.40,4.98,6.61,8.62,12.07,7.37,7.88,5.35,1.70,Upgrade
EV/EBITDA Ratio,21.42,14.07,9.79,10.94,14.32,19.53,25.50,16.72,19.68,18.65,5.38,Upgrade
EV/EBIT Ratio,23.45,17.14,11.31,13.46,17.97,24.15,31.39,20.25,22.47,24.15,7.35,Upgrade
EV/FCF Ratio,11.23,10.54,19.35,-36.54,-10.24,21.32,31.15,15.63,36.71,146.29,1.32,Upgrade
Debt / Equity Ratio,2.02,1.97,1.63,1.80,1.92,1.94,1.99,1.47,1.95,1.13,0.38,Upgrade
Debt / EBITDA Ratio,30.21,14.73,9.47,14.25,17.15,18.87,15.83,10.40,13.05,13.14,4.11,Upgrade
Debt / FCF Ratio,15.84,11.03,18.73,-47.60,-12.26,20.60,19.34,9.72,24.35,103.07,1.01,Upgrade
Asset Turnover,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,Upgrade
Return on Equity (ROE),5.90%,9.70%,13.20%,9.30%,8.50%,8.10%,7.90%,9.00%,8.80%,4.60%,6.60%,Upgrade
Return on Assets (ROA),0.50%,0.80%,1.10%,0.70%,0.60%,0.70%,0.60%,0.70%,0.80%,0.50%,0.60%,Upgrade
Return on Capital (ROIC),0.50%,0.90%,1.30%,0.80%,0.60%,0.70%,0.80%,1.00%,1.10%,0.70%,0.90%,Upgrade
Earnings Yield,22.55%,15.84%,10.38%,10.46%,10.93%,10.52%,4.75%,6.82%,6.94%,5.82%,7.13%,Upgrade
FCF Yield,48.05%,29.06%,7.13%,-4.43%,-20.64%,13.04%,7.20%,13.16%,6.51%,1.43%,53.36%,Upgrade
Dividend Yield,2.20%,1.03%,0.52%,0.84%,1.04%,1.10%,0.53%,0.71%,0.85%,1.46%,1.04%,Upgrade
Payout Ratio,10.70%,6.40%,4.90%,8.00%,9.60%,10.40%,11.20%,10.30%,12.20%,25.00%,14.60%,Upgrade
Buyback Yield / Dilution,8.57%,3.82%,-1.36%,2.01%,-5.64%,-33.00%,-36.46%,-15.04%,-1.03%,-47.80%,-6.30%,Upgrade
Total Shareholder Return,10.85%,4.85%,-0.84%,2.85%,-4.59%,-31.90%,-35.93%,-14.33%,-0.18%,-46.35%,-5.25%,Upgrade
