Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,288,313,442,125,-,-,-
Market Cap Growth,-,-29.29%,253.52%,-,-,-,-
Enterprise Value,"3,398","3,528","2,771","1,835","1,978","1,528","1,178"
PE Ratio,7.69,9.86,21.44,-4.01,-,-,-
PS Ratio,2.32,3.00,5.24,1.82,-,-,-
PB Ratio,0.74,0.83,1.30,0.57,-,-,-
P/FCF Ratio,11.71,6.47,7.72,2.35,-,-,-
P/OCF Ratio,11.57,6.43,7.68,2.28,-,-,-
EV/Sales Ratio,27.35,33.85,32.81,26.71,32.69,29.73,30.91
EV/EBITDA Ratio,59.52,76.09,65.65,71.74,70.99,73.90,77.63
EV/EBIT Ratio,61.78,79.73,69.63,79.33,77.89,79.41,84.24
EV/FCF Ratio,138.12,72.96,48.36,34.41,-18.43,-20.60,34.10
Debt / Equity Ratio,8.17,8.70,6.96,7.88,13.12,9.46,7.67
Debt / EBITDA Ratio,55.46,70.68,56.29,67.64,71.98,74.71,78.67
Debt / FCF Ratio,128.69,67.78,41.47,32.44,-18.69,-20.83,34.55
Asset Turnover,0.03,0.03,0.04,0.03,0.03,0.03,-
Return on Equity (ROE),10.50%,8.80%,7.90%,-14.10%,10.90%,4.80%,-
Return on Assets (ROA),1.10%,0.90%,0.90%,-1.40%,0.90%,0.50%,-
Return on Capital (ROIC),0.80%,0.70%,0.90%,0.60%,0.70%,0.70%,-
Earnings Yield,13.58%,10.14%,4.66%,-24.91%,-,-,-
FCF Yield,8.54%,15.46%,12.95%,42.61%,-,-,-
Buyback Yield / Dilution,0.44%,-0.44%,-69.17%,-5.72%,-,-,-
Total Shareholder Return,0.44%,-0.44%,-69.17%,-5.72%,-,-,-
